player_id,name,team,position,fixture,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_pct,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total
497,Manuel Neuer,Bayern München,G,Bayern München vs RB Leipzig,90,7.2,,0,,,36,32.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,FC Augsburg vs Bayern München,90,6.6,,0,,,43,30.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs Hamburger SV,90,7.7,,0,,,24,23.0,,,,,1.0,0,0,1.0,1.0
497,Manuel Neuer,Bayern München,G,1899 Hoffenheim vs Bayern München,90,6.2,,0,,,49,37.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs Werder Bremen,90,7.3,,0,,,37,33.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Eintracht Frankfurt vs Bayern München,90,8,,0,,,41,36.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs Borussia Dortmund,90,6.6,,0,,,43,30.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs Bayer Leverkusen,90,6.9,,0,,,22,14.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Union Berlin vs Bayern München,90,5.9,,0,,,36,29.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs SC Freiburg,90,6.2,,0,,,37,27.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs FC St. Pauli,90,6.2,,0,,,27,24.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs FSV Mainz 05,90,6.5,,0,,,31,29.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs VfL Wolfsburg,90,7.3,,0,,,37,30.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,1. FC Köln vs Bayern München,90,7.9,,0,,,23,20.0,,,,,,0,0,1.0,1.0
497,Manuel Neuer,Bayern München,G,RB Leipzig vs Bayern München,90,7.9,,0,,,42,31.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Hamburger SV vs Bayern München,90,6.2,,0,,,26,21.0,,,,,,0,0,,
497,Manuel Neuer,Bayern München,G,Bayern München vs 1899 Hoffenheim,90,7.7,,0,,,25,19.0,,,,,1.0,0,0,1.0,1.0
497,Manuel Neuer,Bayern München,G,Werder Bremen vs Bayern München,45,6.9,,0,,,22,20.0,,,,,,0,0,,
1157,Konrad Laimer,Bayern München,D,Bayern München vs RB Leipzig,69,6.7,,0,1.0,1.0,34,32.0,,2.0,1.0,4.0,,1,0,2.0,8.0
1157,Konrad Laimer,Bayern München,D,FC Augsburg vs Bayern München,71,6.5,,1,1.0,1.0,23,19.0,,,,1.0,,1,0,,7.0
1157,Konrad Laimer,Bayern München,D,Bayern München vs Hamburger SV,90,7.2,,1,,,58,51.0,,2.0,1.0,,1.0,0,0,6.0,9.0
1157,Konrad Laimer,Bayern München,D,1899 Hoffenheim vs Bayern München,90,6.7,,0,1.0,1.0,50,46.0,,2.0,,1.0,1.0,0,0,6.0,10.0
1157,Konrad Laimer,Bayern München,D,Bayern München vs Werder Bremen,90,8.7,1.0,0,1.0,1.0,63,55.0,,1.0,,1.0,1.0,0,0,6.0,9.0
1157,Konrad Laimer,Bayern München,D,Eintracht Frankfurt vs Bayern München,90,6.3,,0,,,49,38.0,,2.0,2.0,1.0,1.0,0,0,3.0,9.0
1157,Konrad Laimer,Bayern München,D,Bayern München vs Borussia Dortmund,90,6.5,,0,,,54,50.0,,2.0,,3.0,1.0,1,0,4.0,11.0
1157,Konrad Laimer,Bayern München,D,Borussia Mönchengladbach vs Bayern München,45,6.3,,0,1.0,,74,71.0,,,,,,0,0,,1.0
1157,Konrad Laimer,Bayern München,D,Bayern München vs Bayer Leverkusen,75,7.9,,1,1.0,1.0,54,49.0,,3.0,1.0,1.0,,0,0,4.0,11.0
1157,Konrad Laimer,Bayern München,D,Union Berlin vs Bayern München,80,6.3,,0,,,67,53.0,,2.0,,1.0,1.0,1,0,5.0,9.0
