player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
20,Axel Witsel,Girona,M,464,1.0,0.0,2.0,1.0,216,195.0,7.0,5.0,5.0,6.0,2,1,18.0,33.0,0.194,0.0,0.5,90.278,54.545,2.328,1.018
23,Sergio Gómez,Real Sociedad,D,415,0.0,0.0,1.0,0.0,322,280.0,23.0,6.0,6.0,3.0,0,0,30.0,46.0,0.0,0.0,0.0,86.957,65.217,6.289,0.325
23,Sergio Gómez,Real Sociedad,F,63,0.0,0.0,0.0,0.0,34,28.0,6.0,0.0,3.0,1.0,0,0,7.0,12.0,0.0,0.0,,82.353,58.333,8.571,1.071
23,Sergio Gómez,Real Sociedad,M,90,0.0,0.0,0.0,0.0,59,55.0,1.0,0.0,3.0,1.0,1,0,3.0,7.0,0.0,0.0,,93.22,42.857,1.0,1.75
29,Jan Oblak,Atletico Madrid,G,810,0.0,0.0,0.0,0.0,259,197.0,0.0,0.0,0.0,3.0,0,0,4.0,6.0,0.0,0.0,,76.062,66.667,0.0,0.0
31,José María Giménez,Atletico Madrid,D,90,0.0,0.0,2.0,0.0,59,56.0,2.0,2.0,1.0,2.0,0,0,8.0,13.0,0.0,0.0,0.0,94.915,61.538,4.0,0.25
45,Thomas Lemar,Girona,M,144,0.0,0.0,1.0,1.0,72,61.0,1.0,0.0,0.0,6.0,0,0,11.0,21.0,0.0,0.0,1.0,84.722,52.381,0.625,0.0
49,Thomas Partey,Villarreal,M,373,0.0,0.0,5.0,1.0,207,175.0,7.0,7.0,6.0,0.0,0,0,16.0,33.0,0.0,0.0,0.2,84.541,48.485,3.378,0.362
50,Koke,Atletico Madrid,M,520,0.0,1.0,1.0,0.0,458,427.0,6.0,4.0,8.0,7.0,3,0,19.0,39.0,0.0,0.173,0.0,93.231,48.718,1.731,0.865
52,Sergio Camello,Rayo Vallecano,F,129,0.0,0.0,5.0,2.0,40,34.0,1.0,0.0,1.0,4.0,1,1,8.0,16.0,0.0,0.0,0.4,85.0,50.0,0.698,2.267
