team,home_goals_for,away_goals_for,Shots on Goal_for,Shots off Goal_for,Total Shots_for,Blocked Shots_for,Shots insidebox_for,Shots outsidebox_for,Fouls_for,Corner Kicks_for,Offsides_for,Ball Possession_for,Yellow Cards_for,Red Cards_for,Goalkeeper Saves_for,Total passes_for,Passes accurate_for,Passes %_for,expected_goals_for,goals_prevented_for,home_goals_against,away_goals_against,Shots on Goal_against,Shots off Goal_against,Total Shots_against,Blocked Shots_against,Shots insidebox_against,Shots outsidebox_against,Fouls_against,Corner Kicks_against,Offsides_against,Ball Possession_against,Yellow Cards_against,Red Cards_against,Goalkeeper Saves_against,Total passes_against,Passes accurate_against,Passes %_against,expected_goals_against,goals_prevented_against
1. FC Heidenheim,1.6,1.6,3.6,5.3,11.9,3.0,7.8,4.1,10.5,4.8,1.9,0.4,1.6,0.0,3.4,366.2,281.5,0.8,1.4,0.0,1.6,1.6,5.7,5.7,15.3,3.8,10.5,4.8,10.3,5.0,1.0,0.6,2.0,0.0,2.7,528.4,445.6,0.8,2.0,0.0
1. FC Köln,1.8,1.3,4.4,5.0,12.9,3.5,8.9,4.0,8.1,4.3,1.8,0.5,1.6,0.0,3.1,406.2,327.3,0.8,1.4,0.1,1.8,1.3,4.9,5.4,14.4,4.1,9.9,4.5,11.1,6.0,2.1,0.5,2.4,0.2,2.8,458.1,379.9,0.8,1.7,0.1
1899 Hoffenheim,1.9,1.5,5.0,5.2,13.5,3.3,9.6,3.9,14.0,5.2,1.7,0.5,2.1,0.1,3.1,465.4,374.4,0.8,1.6,-0.0,1.9,1.5,4.4,4.9,13.0,3.7,8.7,4.3,9.4,5.5,1.6,0.5,1.3,0.1,3.1,400.8,310.7,0.8,1.6,-0.0
Bayer Leverkusen,1.9,1.3,4.5,5.7,13.8,3.5,8.3,5.5,8.8,5.1,1.2,0.6,2.2,0.1,3.5,628.3,556.6,0.9,1.7,-0.0,1.9,1.3,4.7,4.5,11.9,2.7,7.6,4.3,11.5,4.6,1.2,0.4,2.7,0.1,2.7,411.5,337.2,0.8,1.1,-0.0
Bayern München,2.5,2.1,8.9,5.6,19.1,4.7,13.1,6.0,9.2,6.3,2.5,0.7,1.8,0.0,1.5,699.8,631.5,0.9,3.0,-0.4,2.5,2.1,2.5,4.5,9.8,2.8,6.5,3.3,9.0,3.4,1.7,0.3,1.6,0.1,5.0,342.0,268.4,0.8,1.0,-0.4
Borussia Dortmund,1.7,1.3,4.9,4.5,13.1,3.7,9.4,3.7,11.7,5.3,1.3,0.5,1.9,0.1,2.5,496.0,417.1,0.8,1.8,0.0,1.7,1.3,3.3,4.8,10.8,2.7,7.6,3.2,10.5,4.6,2.1,0.5,1.7,0.1,2.7,425.6,344.0,0.8,1.1,0.0
Borussia Mönchengladbach,1.3,1.5,4.0,4.4,11.3,2.9,7.4,3.9,11.2,4.3,1.8,0.5,1.3,0.0,3.9,440.7,364.5,0.8,1.3,0.0,1.3,1.5,5.6,5.5,14.7,3.6,9.0,5.7,10.9,4.7,2.0,0.5,2.0,0.0,2.8,532.3,457.4,0.8,1.5,0.0
Eintracht Frankfurt,2.2,1.9,4.4,4.0,11.5,3.1,7.9,3.6,11.0,4.3,1.1,0.5,1.9,0.1,2.6,487.3,404.5,0.8,1.4,-0.2,2.2,1.9,4.8,5.2,12.8,2.8,8.9,4.0,9.6,4.2,3.0,0.5,2.1,0.1,2.3,446.4,366.7,0.8,1.5,-0.2
FC Augsburg,1.6,1.3,4.4,5.2,12.9,3.3,7.9,5.0,12.0,4.7,2.1,0.5,2.7,0.0,2.6,415.0,330.8,0.8,1.2,0.1,1.6,1.3,4.5,5.0,13.4,4.0,9.4,4.0,12.1,5.0,1.8,0.5,1.8,0.1,3.1,494.7,408.9,0.8,1.7,0.1
FC St. Pauli,1.5,1.2,3.6,3.6,10.3,3.2,6.1,4.2,10.3,4.7,2.0,0.5,1.5,0.0,3.4,443.3,349.2,0.8,0.9,0.0,1.5,1.2,5.1,3.3,11.3,2.9,7.7,3.6,10.2,5.0,2.1,0.5,2.0,0.1,2.5,556.3,471.0,0.8,1.5,0.0
FSV Mainz 05,1.6,1.2,3.6,4.4,11.4,3.3,8.8,2.6,11.6,5.2,2.3,0.4,2.4,0.2,3.5,372.7,277.6,0.7,1.4,0.0,1.6,1.2,5.3,5.7,15.0,4.0,10.3,4.7,10.1,4.2,1.5,0.6,1.9,0.0,2.3,481.3,386.1,0.8,1.8,0.0
Hamburger SV,1.7,0.9,4.8,5.0,13.2,3.3,8.8,4.4,12.5,3.9,2.1,0.5,2.5,0.3,3.0,413.1,339.3,0.8,1.2,0.0,1.7,0.9,4.7,5.7,13.9,3.5,8.9,5.0,13.0,5.0,1.3,0.5,2.2,0.0,3.6,463.0,384.8,0.8,1.5,0.0
RB Leipzig,1.8,1.5,5.7,5.9,16.2,4.7,11.6,4.6,9.2,5.3,1.4,0.5,1.5,0.0,2.5,510.7,433.0,0.8,1.9,0.0,1.8,1.5,4.0,4.5,12.1,3.6,8.2,4.0,10.7,4.4,2.4,0.5,2.0,0.0,3.9,441.5,359.4,0.8,1.5,0.0
SC Freiburg,2.0,1.1,4.1,4.7,12.4,3.6,8.5,3.9,9.6,4.4,2.1,0.5,1.5,0.1,2.9,405.8,327.3,0.8,1.5,-0.1,2.0,1.1,4.4,5.2,13.7,4.1,8.9,4.8,12.4,4.2,1.3,0.5,2.4,0.1,2.6,446.0,367.2,0.8,1.3,-0.1
Union Berlin,1.6,1.3,3.7,5.9,12.7,3.2,9.6,3.1,13.0,5.3,1.5,0.4,2.2,0.1,2.6,322.8,231.5,0.7,1.4,-0.0,1.6,1.3,4.1,4.7,12.2,3.3,7.8,4.4,10.8,4.2,1.3,0.6,2.0,0.1,2.3,528.9,440.6,0.8,1.3,-0.0
VfB Stuttgart,1.6,1.7,5.8,5.4,14.9,3.7,9.7,5.2,9.8,5.3,2.2,0.6,2.0,0.0,3.0,522.8,441.5,0.8,1.6,0.1,1.6,1.7,4.3,4.6,12.3,3.4,9.0,3.3,12.4,4.1,1.7,0.4,1.7,0.1,3.9,374.3,287.8,0.8,1.4,0.1
VfL Wolfsburg,1.8,1.7,4.0,5.0,11.6,2.7,7.1,4.5,11.2,3.7,1.2,0.5,2.0,0.0,3.4,417.5,335.0,0.8,1.3,0.0,1.8,1.7,5.4,5.7,15.3,4.3,10.6,4.8,9.8,7.7,2.0,0.5,1.7,0.0,2.5,480.7,399.9,0.8,1.8,0.0
