fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
1. fc heidenheim vs bayern münchen,bayern münchen,8,Raphaël Guerreiro,M,72,6.6,0.0,0,0.0,0.0,76,69.0,90.8,1.0,1.0,0.0,0.0,0,0,1.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,3.9599999999999995,0.0,0.1451218483851927,2.0,0.7593814260541192,1. fc heidenheim,0.24080164150996428,0,8.0,0.2,0.4550343477688066,0,0,-0.09567979312477157,1.8,0.3043470782853126,0,0.0,0.0
1. fc köln vs bayern münchen,bayern münchen,8,Raphaël Guerreiro,D,8,6.7,0.0,0,0.0,0.0,6,6.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,3.99,0.005000000000000009,0.0482772577789021,1.75,0.7197310079810818,1. fc köln,0.0,0,3.0,0.6333333333333334,0.4726391444890487,0,0,0.0482772577789021,1.1166666666666667,0.2470918634920331,0,0.0,0.0
bayern münchen vs bayer leverkusen,bayern münchen,8,Raphaël Guerreiro,M,79,6.6,0.0,0,1.0,0.0,46,39.0,84.8,1.0,0.0,0.0,0.0,0,0,3.0,4.0,0.0,0.0,0.75,0.25,0.0,0,0.0,0.0,0.0,0.0,6.633333333333333,0.0,0.0,0.0,3.9799999999999995,0.0033333333333333687,0.40888127809453384,1.5,0.7718970289120674,bayer leverkusen,0.028722100060324187,1,3.0,0.05999999999999994,0.6242566150621829,0,0,0.3801591780342097,1.44,0.14764041384988447,0,0.0,0.0
bayern münchen vs fc st. pauli,bayern münchen,8,Raphaël Guerreiro,M,65,7.3,1.0,0,1.0,1.0,43,41.0,95.3,0.0,0.0,0.0,1.0,0,0,3.0,4.0,1.0,1.0,0.75,0.0,1.0,0,0.0,0.0,0.0,0.0,6.8,0.25,0.0,0.25,4.18,0.11333333333333306,0.12640188886078085,0.8600000000000001,0.8819686668637304,fc st. pauli,0.26496629514441744,1,8.0,0.033333333333333326,0.46013059952167257,0,0,-0.1385644062836366,0.8266666666666668,0.42183806734205787,0,0.0,0.0
bayern münchen vs hamburger sv,bayern münchen,8,Raphaël Guerreiro,D,18,6.9,0.0,0,0.0,0.0,12,12.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.875,0.25,0.0,0.25,4.225,0.09583333333333284,0.44276920482334087,1.04,0.7527272448802991,hamburger sv,0.5840008994575148,2,14.0,-0.625,0.5504303667157461,0,0,-0.1412316946341739,1.665,0.202296878164553,0,0.0,0.0
bayern münchen vs vfl wolfsburg,bayern münchen,8,Raphaël Guerreiro,D,33,7.7,1.0,0,1.0,1.0,27,26.0,96.3,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,7.125,0.5,0.0,0.5,4.475,0.2291666666666657,0.19163811144585238,1.96,0.7452483707050659,vfl wolfsburg,0.1700817944177418,1,6.0,-0.1333333333333333,0.5157478569317174,0,0,0.02155631702811059,2.0933333333333333,0.22950051377334846,0,0.0,0.0
bayern münchen vs werder bremen,bayern münchen,8,Raphaël Guerreiro,D,29,6.3,0.0,0,0.0,0.0,17,15.0,88.2,0.0,0.0,1.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.103448275862069,0.0,0.5,7.050000000000001,0.5,0.0,0.5,4.430000000000001,0.3566666666666658,0.34087626384207986,2.16,0.7245720184907528,werder bremen,0.04795634418705503,0,4.0,-0.26666666666666666,0.6045725693814055,0,0,0.29291991965502484,2.4266666666666667,0.11999944910934734,0,0.0,0.0
borussia mönchengladbach vs bayern münchen,bayern münchen,8,Raphaël Guerreiro,D,45,8.2,1.0,1,1.0,1.0,42,40.0,95.2,3.0,0.0,1.0,0.0,0,0,3.0,5.0,1.0,1.0,0.6,0.6,2.0,0,0.0,2.0,0.0,0.2,7.275,0.5,0.25,0.75,4.665,0.7091666666666651,0.3822413356944094,1.9,0.8361418147198713,borussia mönchengladbach,0.1708348962376894,1,6.0,-0.16000000000000003,0.3823612369246613,0,0,0.21140643945671997,2.06,0.45378057779520997,0,0.0,0.0
eintracht frankfurt vs bayern münchen,bayern münchen,8,Raphaël Guerreiro,D,19,6.9,0.0,1,0.0,0.0,14,13.0,92.9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,7.275,0.5,0.5,1.0,4.765000000000001,0.7091666666666651,0.44276920482334087,1.7200000000000002,0.6962201260293359,eintracht frankfurt,0.4070177527120132,1,11.0,0.4,0.5890794067950851,0,0,0.035751452111327686,1.3200000000000003,0.10714071923425084,0,0.0,0.0
fc augsburg vs bayern münchen,bayern münchen,8,Raphaël Guerreiro,D,17,6.9,0.0,0,0.0,0.0,4,4.0,100.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,7.074999999999999,0.25,0.5,0.75,4.544999999999999,0.6424999999999984,0.49378109452736324,1.2399999999999998,0.6368191057490495,fc augsburg,0.5776309132304579,2,14.0,-0.020000000000000018,0.5877432349634649,0,0,-0.08384981870309466,1.2599999999999998,0.04907587078558462,0,0.0,0.0
