fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
1. FC Heidenheim vs 1. FC Köln,1. FC Heidenheim,2.0,1,10.0,6.0,489,397.0,9.0,2,0,995,15.0,5.0,0.6,0.8118609406952966,1.93,0,0.56,5,14,6,0,0,0.3122352941176471,0,0,0.6121911856890613,2,9.0,2,0.2222222222222222,0.45,5.1899999999999995,0.343865418669365,2.0,2.0,0.4
1. FC Heidenheim vs Bayern München,1. FC Heidenheim,0.0,0,7.0,1.0,267,200.0,8.0,0,0,990,12.0,6.0,0.14285714285714285,0.7490636704119851,1.04,0,0.26,0,7,1,0,0,0.10400000000000001,0,0,0.4550343477688066,0,8.0,0,0.0,0.4444444444444444,4.088888888888889,0.24080164150996428,1.0,1.0,0.2
1. FC Heidenheim vs Borussia Dortmund,1. FC Heidenheim,0.0,0,5.0,1.0,253,175.0,5.0,2,1,921,11.0,19.0,0.2,0.691699604743083,0.4,0,0.25,5,6,1,0,0,0.18823529411764706,0,0,0.4809547388184821,3,5.0,3,0.6,0.16666666666666666,3.433333333333333,0.17944177417994772,0.6666666666666666,1.6666666666666667,-0.16666666666666669
1. FC Heidenheim vs Borussia Mönchengladbach,1. FC Heidenheim,0.0,0,5.0,2.0,508,439.0,13.0,2,0,998,12.0,10.0,0.4,0.8641732283464567,0.33,0,0.49,4,7,2,0,0,0.2665882352941177,0,0,0.6323112668483688,2,13.0,2,0.15384615384615385,0.5909090909090909,7.218181818181818,0.5337028263919232,0.5,1.75,-0.275
1. FC Heidenheim vs Eintracht Frankfurt,1. FC Heidenheim,1.0,1,8.0,4.0,267,184.0,7.0,0,0,989,12.0,15.0,0.5,0.6891385767790262,0.85,0,0.28,2,9,4,0,0,0.14729411764705885,0,0,0.448601212717033,0,7.0,0,0.0,0.25925925925925924,3.551851851851852,0.19053508352774737,0.6,1.4,-0.12
1. FC Heidenheim vs FC Augsburg,1. FC Heidenheim,2.0,2,11.0,5.0,369,274.0,16.0,1,0,1012,21.0,8.0,0.45454545454545453,0.7425474254742548,1.24,0,0.48,3,11,5,0,0,0.24494117647058825,0,0,0.5178241117912213,1,16.0,1,0.0625,0.5517241379310345,8.410344827586208,0.6452890428046792,0.6,1.2,-0.06
1. FC Heidenheim vs Hamburger SV,1. FC Heidenheim,0.0,0,16.0,4.0,378,287.0,6.0,0,0,990,17.0,7.0,0.25,0.7592592592592593,1.55,1,0.48,10,20,4,0,0,0.3684705882352941,0,0,0.6112465376993902,0,6.0,0,0.0,0.25,3.05,0.14356185175815836,0.6,1.2,-0.06
1. FC Heidenheim vs RB Leipzig,1. FC Heidenheim,0.0,0,7.0,2.0,237,160.0,10.0,1,0,993,27.0,9.0,0.2857142857142857,0.6751054852320675,0.9500000000000001,0,0.26,4,7,2,0,0,0.17458823529411766,0,0,0.4560688525776063,1,10.0,1,0.1,0.2777777777777778,5.355555555555555,0.3593613851645726,0.6,0.8,0.06
1. FC Heidenheim vs SC Freiburg,1. FC Heidenheim,2.0,1,11.0,3.0,282,206.0,11.0,2,0,1004,18.0,13.0,0.2727272727272727,0.7304964539007093,2.14,0,0.39,8,16,3,0,0,0.2971764705882353,0,0,0.5443909996373189,2,11.0,2,0.18181818181818182,0.3548387096774194,6.170967741935484,0.4356838007882947,1.0,0.8,0.26
1. FC Heidenheim vs VfB Stuttgart,1. FC Heidenheim,3.0,0,9.0,6.0,308,209.0,13.0,1,0,990,9.0,11.0,0.6666666666666666,0.6785714285714286,2.13,0,0.34,3,10,6,0,0,0.18894117647058825,0,0,0.4674441535408133,1,13.0,1,0.07692307692307693,0.65,6.93,0.506729066531748,1.4,1.0,0.39999999999999997
1. FC Heidenheim vs VfL Wolfsburg,1. FC Heidenheim,1.0,0,6.0,2.0,392,324.0,12.0,2,0,990,12.0,7.0,0.3333333333333333,0.826530612244898,0.72,0,0.49,2,7,2,0,0,0.23129411764705882,0,0,0.5549856726610243,2,12.0,2,0.16666666666666666,0.631578947368421,6.726315789473684,0.487664265647676,1.2,1.2,0.24
