fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,pass_accuracy_%
Girona vs Rayo Vallecano,Girona,158,Paulo Gazzaniga,G,43,4.2,,0.0,,,16.0,2.2,,,1.0,,0,1,,2.0,14.0
Girona vs Rayo Vallecano,Girona,283668,Arnau Martínez,D,58,6,,0.0,,,34.0,9.5,1.0,1.0,,1.0,0,0,3.0,6.0,28.0
Girona vs Rayo Vallecano,Girona,47334,David López,D,90,5.9,,0.0,,,76.0,44.8,1.0,,1.0,,0,0,2.0,3.0,59.0
Girona vs Rayo Vallecano,Girona,66407,Ladislav Krejčí,D,90,5.9,,0.0,1.0,,42.0,15.5,,1.0,1.0,,0,0,3.0,7.0,37.0
Girona vs Rayo Vallecano,Girona,531,Daley Blind,D,58,6.3,,0.0,,,27.0,6.5,3.0,,,,0,0,6.0,9.0,24.0
Girona vs Rayo Vallecano,Girona,2449,Yangel Herrera,M,70,6.3,,0.0,1.0,,18.0,2.0,,,1.0,3.0,0,0,6.0,12.0,11.0
Girona vs Rayo Vallecano,Girona,306727,Jhon Solís,M,90,6.2,,0.0,,,33.0,9.9,1.0,,,1.0,0,0,4.0,12.0,30.0
Girona vs Rayo Vallecano,Girona,339105,Joel Roca,M,90,7.9,1.0,0.0,1.0,1.0,14.0,1.4,3.0,,1.0,2.0,0,0,9.0,23.0,10.0
Girona vs Rayo Vallecano,Girona,2182,Viktor Tsygankov,F,90,7.6,,1.0,,,28.0,5.9,2.0,,2.0,3.0,0,0,7.0,10.0,21.0
Girona vs Rayo Vallecano,Girona,109564,Bojan Miovski,F,45,6.3,,0.0,,,3.0,0.1,,,,,0,0,,1.0,2.0
Girona vs Rayo Vallecano,Girona,281795,Yáser Asprilla,F,45,6.7,,0.0,,,7.0,0.4,1.0,,,1.0,0,0,3.0,6.0,6.0
Girona vs Rayo Vallecano,Girona,432476,Vladyslav Krapyvtsov,G,46,7.6,,0.0,,,23.0,2.1,,,,1.0,0,0,1.0,1.0,9.0
Girona vs Rayo Vallecano,Girona,47520,Portu,F,45,6.6,,0.0,,,8.0,0.5,,,,1.0,0,0,3.0,6.0,6.0
Girona vs Rayo Vallecano,Girona,414359,Vitor Reis,D,33,6.9,,0.0,,,20.0,2.6,,1.0,,1.0,0,0,1.0,2.0,13.0
Girona vs Rayo Vallecano,Girona,313025,Hugo Rincón,D,33,6.9,,0.0,,,12.0,1.0,,,1.0,1.0,0,0,2.0,5.0,8.0
Girona vs Rayo Vallecano,Girona,45,Thomas Lemar,M,21,6.9,,0.0,1.0,1.0,21.0,3.8,1.0,,,1.0,0,0,3.0,6.0,18.0
Girona vs Rayo Vallecano,Rayo Vallecano,11379,Augusto Batalla,G,90,6.9,,0.0,,,21.0,2.7,,,,,0,0,,,13.0
Girona vs Rayo Vallecano,Rayo Vallecano,1703,Andrei Rațiu,D,90,6.9,,0.0,,,56.0,28.0,5.0,1.0,1.0,1.0,0,0,9.0,21.0,50.0
Girona vs Rayo Vallecano,Rayo Vallecano,18895,Florian Lejeune,D,90,6.3,,0.0,2.0,,68.0,38.1,1.0,,3.0,,0,0,3.0,6.0,56.0
Girona vs Rayo Vallecano,Rayo Vallecano,1847,Luiz Felipe,D,45,6.9,,0.0,,,31.0,9.0,1.0,,1.0,,1,0,1.0,2.0,29.0
Girona vs Rayo Vallecano,Rayo Vallecano,181734,Josep Chavarría,D,90,7.2,,0.0,1.0,,51.0,22.9,2.0,2.0,1.0,3.0,0,0,8.0,9.0,45.0
Girona vs Rayo Vallecano,Rayo Vallecano,41552,Pathé Ismaël Ciss,M,90,7.3,,0.0,2.0,2.0,50.0,23.0,6.0,2.0,2.0,,0,0,8.0,15.0,46.0
Girona vs Rayo Vallecano,Rayo Vallecano,47285,Unai López,M,81,7,,0.0,1.0,,61.0,35.4,3.0,2.0,2.0,,0,0,4.0,7.0,58.0
Girona vs Rayo Vallecano,Rayo Vallecano,131546,Isi Palazón,M,90,7.9,1.0,0.0,2.0,1.0,42.0,16.0,1.0,,,1.0,0,0,7.0,11.0,38.0
Girona vs Rayo Vallecano,Rayo Vallecano,46887,Pedro Díaz,M,70,6.5,,0.0,2.0,,20.0,3.6,2.0,,,,0,0,3.0,5.0,18.0
Girona vs Rayo Vallecano,Rayo Vallecano,47543,Álvaro García,M,85,7,1.0,0.0,1.0,1.0,12.0,0.8,1.0,,,,0,0,2.0,4.0,7.0
Girona vs Rayo Vallecano,Rayo Vallecano,128582,Jorge de Frutos,F,81,9.2,1.0,1.0,2.0,1.0,7.0,0.3,1.0,,4.0,2.0,0,0,4.0,14.0,4.0
Girona vs Rayo Vallecano,Rayo Vallecano,333292,Pelayo Fernández,D,45,6.5,,0.0,1.0,,35.0,10.5,1.0,,1.0,,0,0,4.0,8.0,30.0
Girona vs Rayo Vallecano,Rayo Vallecano,47414,Gerard Gumbau,M,21,6.2,,0.0,,,12.0,1.1,,,2.0,,0,0,,3.0,9.0
Girona vs Rayo Vallecano,Rayo Vallecano,47109,Óscar Valentín,M,10,6.3,,0.0,1.0,,4.0,0.1,1.0,1.0,,,0,0,2.0,3.0,3.0
Girona vs Rayo Vallecano,Rayo Vallecano,122657,Randy Nteka,M,10,6.7,,0.0,,,1.0,0.0,2.0,,,1.0,0,0,3.0,3.0,1.0
Girona vs Rayo Vallecano,Rayo Vallecano,46759,Alfonso Espino,D,13,7.5,,0.0,,,10.0,0.8,,,,,0,0,,,8.0
Villarreal vs Oviedo,Villarreal,278619,Luiz Júnior,G,90,7.2,,0.0,,,13.0,1.4,,,1.0,,1,0,,1.0,11.0
Villarreal vs Oviedo,Villarreal,311773,Santiago Mouriño,D,90,8,,0.0,1.0,,87.0,74.8,2.0,1.0,1.0,1.0,0,0,3.0,5.0,86.0
Villarreal vs Oviedo,Villarreal,166,Juan Foyth,D,70,7,,0.0,,,38.0,13.7,,3.0,,,0,0,,1.0,36.0
