player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
20,Axel Witsel,Girona,D,54,0.0,0.0,2.0,0.0,33,27.0,0.0,1.0,1.0,2.0,0,0,5.0,11.0,0.0,0.0,0.0,81.818,45.455,1.667,0.417
20,Axel Witsel,Girona,M,1245,1.0,0.0,7.0,2.0,676,606.0,17.0,13.0,19.0,18.0,2,1,67.0,126.0,0.072,0.0,0.286,89.645,53.175,2.169,0.633
23,Sergio Gómez,Real Sociedad,D,1448,0.0,1.0,5.0,0.0,795,673.0,62.0,20.0,26.0,8.0,0,0,90.0,159.0,0.0,0.062,0.0,84.654,56.604,5.097,0.404
23,Sergio Gómez,Real Sociedad,F,77,0.0,0.0,0.0,0.0,47,41.0,6.0,0.0,3.0,2.0,0,0,8.0,13.0,0.0,0.0,,87.234,61.538,7.013,0.877
23,Sergio Gómez,Real Sociedad,M,90,0.0,0.0,0.0,0.0,60,56.0,1.0,0.0,3.0,1.0,1,0,3.0,8.0,0.0,0.0,,93.333,37.5,1.0,1.75
29,Jan Oblak,Atletico Madrid,G,1980,0.0,0.0,0.0,0.0,650,482.0,0.0,0.0,0.0,3.0,0,0,5.0,8.0,0.0,0.0,,74.154,62.5,0.0,0.0
31,José María Giménez,Atletico Madrid,D,723,0.0,0.0,8.0,2.0,509,457.0,11.0,10.0,13.0,6.0,3,0,41.0,85.0,0.0,0.0,0.25,89.784,48.235,2.614,0.778
45,Thomas Lemar,Girona,M,714,1.0,1.0,8.0,6.0,380,334.0,11.0,1.0,13.0,14.0,2,0,33.0,91.0,0.126,0.126,0.75,87.895,36.264,1.513,0.662
49,Thomas Partey,Villarreal,M,673,0.0,0.0,6.0,1.0,381,329.0,14.0,11.0,7.0,4.0,0,0,34.0,62.0,0.0,0.0,0.167,86.352,54.839,3.343,0.234
50,Koke,Atletico Madrid,M,1443,2.0,2.0,5.0,3.0,1248,1155.0,33.0,13.0,14.0,12.0,4,0,60.0,122.0,0.125,0.125,0.6,92.548,49.18,2.869,0.468
52,Sergio Camello,Rayo Vallecano,F,460,0.0,0.0,8.0,4.0,126,106.0,2.0,2.0,3.0,9.0,1,1,20.0,47.0,0.0,0.0,0.5,84.127,42.553,0.783,0.734
56,Antoine Griezmann,Atletico Madrid,F,762,6.0,0.0,25.0,14.0,384,324.0,7.0,2.0,0.0,5.0,0,0,21.0,46.0,0.709,0.0,0.56,84.375,45.652,1.063,0.0
74,Sofyan Amrabat,Real Betis,M,602,0.0,0.0,2.0,1.0,434,394.0,11.0,6.0,10.0,13.0,3,0,30.0,52.0,0.0,0.0,0.5,90.783,57.692,2.542,0.822
83,Arnaut Danjuma,Valencia,F,597,1.0,1.0,6.0,2.0,137,114.0,5.0,0.0,7.0,15.0,0,0,29.0,61.0,0.151,0.151,0.333,83.212,47.541,0.754,0.264
83,Arnaut Danjuma,Valencia,M,832,2.0,1.0,19.0,10.0,186,137.0,7.0,0.0,9.0,6.0,0,0,32.0,70.0,0.216,0.108,0.526,73.656,45.714,0.757,0.243
85,Cyril Ngonge,Espanyol,F,34,0.0,1.0,2.0,0.0,14,10.0,2.0,1.0,0.0,2.0,0,0,5.0,7.0,0.0,2.647,0.0,71.429,71.429,7.941,0.0
126,Iñaki Peña,Elche,G,1440,0.0,0.0,0.0,0.0,889,658.0,0.0,0.0,0.0,1.0,0,0,3.0,8.0,0.0,0.0,,74.016,37.5,0.0,0.0
