team,home_goals_for,away_goals_for,Shots on Goal_for,Shots off Goal_for,Total Shots_for,Blocked Shots_for,Shots insidebox_for,Shots outsidebox_for,Fouls_for,Corner Kicks_for,Offsides_for,Ball Possession_for,Yellow Cards_for,Red Cards_for,Goalkeeper Saves_for,Total passes_for,Passes accurate_for,Passes %_for,expected_goals_for,goals_prevented_for,home_goals_against,away_goals_against,Shots on Goal_against,Shots off Goal_against,Total Shots_against,Blocked Shots_against,Shots insidebox_against,Shots outsidebox_against,Fouls_against,Corner Kicks_against,Offsides_against,Ball Possession_against,Yellow Cards_against,Red Cards_against,Goalkeeper Saves_against,Total passes_against,Passes accurate_against,Passes %_against,expected_goals_against,goals_prevented_against
Alaves,1.3,0.8,4.0,5.1,12.0,2.9,7.6,4.4,15.3,5.1,2.1,0.5,2.3,0.1,2.6,431.7,349.3,0.8,1.2,0.0,1.3,0.8,3.9,4.8,12.7,4.0,8.2,4.4,13.9,4.7,1.5,0.5,2.0,0.2,3.1,425.2,346.0,0.8,1.3,0.0
Athletic Club,1.5,1.1,4.6,5.4,14.5,4.4,9.9,4.6,13.8,5.4,1.3,0.5,2.2,0.2,2.7,415.8,334.8,0.8,1.5,0.0,1.5,1.1,4.1,3.4,9.3,1.8,5.9,3.4,11.8,3.9,3.5,0.5,2.2,0.1,3.6,437.5,348.2,0.8,1.1,0.0
Atletico Madrid,1.7,0.9,5.6,5.0,13.2,2.6,9.4,3.8,11.4,6.9,2.1,0.5,1.8,0.1,2.1,523.3,449.9,0.9,1.6,0.1,1.7,0.9,3.0,4.8,10.3,2.5,6.0,4.4,9.8,3.7,1.4,0.5,2.0,0.0,4.0,433.6,360.9,0.8,1.1,0.1
Barcelona,2.3,1.4,7.4,7.4,20.6,5.8,13.2,7.4,9.2,7.7,2.1,0.7,1.6,0.1,2.8,653.1,585.5,0.9,2.6,-0.1,2.3,1.4,3.9,3.3,9.4,2.3,7.5,2.0,12.0,4.3,4.8,0.3,2.4,0.3,4.7,283.7,214.5,0.7,1.3,-0.1
Celta Vigo,1.2,1.2,4.1,4.2,11.2,2.9,7.1,4.2,11.6,4.2,1.9,0.5,1.9,0.0,2.8,500.1,430.1,0.9,1.4,0.0,1.2,1.2,3.9,4.4,11.5,3.2,7.3,4.2,12.0,4.4,2.2,0.5,2.6,0.3,2.8,463.8,397.4,0.8,1.2,0.0
Elche,1.8,1.0,3.8,4.1,10.8,2.9,7.3,3.4,12.6,3.6,1.6,0.6,2.1,0.1,3.2,513.3,441.3,0.9,1.1,0.0,1.8,1.0,4.8,5.8,14.7,4.0,9.9,4.8,14.8,4.6,2.0,0.4,2.2,0.0,2.5,355.8,286.9,0.8,1.9,0.0
Espanyol,1.4,1.3,4.2,5.1,12.5,3.2,8.2,4.3,12.7,4.4,1.5,0.4,2.0,0.1,3.0,359.4,285.4,0.8,1.3,0.0,1.4,1.3,4.5,4.4,12.7,3.7,8.4,4.3,12.4,4.5,1.3,0.6,2.4,0.1,2.8,500.3,424.9,0.8,1.4,0.0
Getafe,1.1,0.8,2.7,3.9,9.6,3.0,5.4,4.2,14.8,4.5,2.4,0.4,2.5,0.2,3.0,300.2,210.7,0.7,0.7,-0.0,1.1,0.8,4.0,4.1,10.2,2.2,6.4,3.8,15.2,4.1,2.8,0.6,2.1,0.1,1.9,449.8,360.0,0.8,1.0,-0.0
Girona,1.3,1.3,3.9,3.0,9.8,2.9,6.4,3.4,11.0,4.0,2.1,0.5,2.3,0.3,3.2,446.6,378.2,0.8,1.3,0.0,1.3,1.3,4.8,7.2,15.6,3.6,10.4,5.2,13.8,5.2,1.7,0.5,1.8,0.0,2.9,471.4,403.5,0.8,1.7,0.0
Levante,1.3,1.5,3.2,4.2,11.0,3.6,7.2,3.8,12.2,3.7,1.9,0.4,2.2,0.1,4.0,356.9,281.4,0.8,1.3,0.2,1.3,1.5,5.7,6.5,16.6,4.4,11.0,5.6,12.9,6.6,1.3,0.6,2.3,0.1,2.0,502.8,431.4,0.8,1.7,0.2
Mallorca,1.8,1.0,3.8,4.3,10.1,2.0,6.6,3.5,11.6,3.4,1.4,0.4,2.2,0.1,3.5,375.8,298.1,0.8,1.1,-0.0,1.8,1.0,5.1,5.3,15.1,4.7,9.2,6.0,12.1,6.8,1.4,0.6,1.9,0.3,2.5,483.0,409.0,0.8,1.7,-0.0
Osasuna,1.5,0.9,3.4,4.7,10.9,2.8,7.6,3.3,13.6,3.2,1.3,0.4,2.4,0.2,3.6,372.9,295.3,0.8,1.2,0.1,1.5,0.9,4.8,5.0,13.0,3.2,7.6,5.4,11.4,5.0,2.0,0.6,2.3,0.1,2.3,474.1,398.5,0.8,1.4,0.1
Oviedo,1.3,1.0,3.1,4.3,9.8,2.4,6.2,3.5,12.8,4.0,2.3,0.4,2.2,0.3,4.5,379.2,308.9,0.8,1.0,-0.1,1.3,1.0,6.1,5.4,15.2,3.6,9.9,5.3,11.4,5.8,1.2,0.6,1.4,0.1,2.4,492.1,424.0,0.8,1.7,-0.1
Rayo Vallecano,1.4,0.8,4.5,5.5,13.3,3.2,7.4,5.9,13.5,5.8,2.2,0.5,2.8,0.3,2.8,436.9,363.3,0.8,1.3,0.0,1.4,0.8,4.2,4.4,12.1,3.6,7.7,4.5,10.7,5.1,1.0,0.5,2.1,0.1,3.5,378.8,303.5,0.8,1.3,0.0
Real Betis,1.6,1.2,4.9,5.8,14.8,4.0,8.9,5.9,10.5,4.5,1.5,0.5,2.0,0.0,3.1,455.9,384.0,0.8,1.6,0.1,1.6,1.2,4.3,5.2,12.7,3.2,7.8,4.9,13.6,5.5,3.0,0.5,2.6,0.1,3.3,467.6,393.2,0.8,1.2,0.1
Real Madrid,1.7,1.3,7.0,6.8,18.4,4.6,11.5,6.9,10.0,6.4,1.7,0.6,1.8,0.2,2.1,581.2,520.4,0.9,2.3,0.1,1.7,1.3,3.0,4.2,10.2,3.1,6.2,4.0,14.0,3.7,0.8,0.4,2.5,0.4,4.9,396.1,331.5,0.8,1.1,0.1
Real Sociedad,1.7,1.3,5.0,4.5,13.0,3.6,8.1,4.9,14.5,5.9,2.3,0.5,2.0,0.1,2.4,428.8,353.8,0.8,1.4,-0.0,1.7,1.3,4.0,5.6,13.0,3.4,8.3,4.6,12.1,4.6,1.7,0.5,2.6,0.1,3.4,443.9,366.0,0.8,1.5,-0.0
Sevilla,1.5,1.3,3.8,4.2,11.2,3.2,7.4,3.8,15.1,5.0,2.8,0.5,3.0,0.1,3.0,425.2,349.0,0.8,1.1,0.1,1.5,1.3,4.6,3.5,10.9,2.9,8.0,3.0,13.5,4.8,0.8,0.5,2.1,0.1,2.6,357.5,280.1,0.8,1.7,0.1
Valencia,1.6,1.0,2.9,4.6,11.0,3.4,7.2,3.8,12.2,5.0,1.5,0.5,2.1,0.1,2.8,417.9,342.3,0.8,1.2,-0.2,1.6,1.0,4.3,5.0,12.1,2.8,7.8,4.3,11.6,4.9,2.5,0.5,2.4,0.2,1.8,443.5,370.4,0.8,1.3,-0.2
Villarreal,1.8,1.2,4.5,5.0,12.1,2.6,8.4,3.7,12.8,4.1,2.0,0.4,2.4,0.1,2.4,403.7,333.9,0.8,1.5,-0.3,1.8,1.2,3.5,5.0,12.6,4.1,7.7,4.9,12.0,4.4,0.9,0.6,2.1,0.1,2.7,514.1,442.0,0.8,1.2,-0.3
