fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Girona vs Rayo Vallecano,Girona,Girona,Rayo Vallecano,1,3,1-3,2,2,7,3,3,4,8,2,1,0.44,0,1,2,382,296,0.77,0.56,0
Girona vs Rayo Vallecano,Rayo Vallecano,Girona,Rayo Vallecano,1,3,1-3,5,10,16,1,12,4,17,4,1,0.56,1,0,1,481,415,0.86,3.43,0
Villarreal vs Oviedo,Villarreal,Villarreal,Oviedo,2,0,2-0,10,11,25,4,17,8,10,10,0,0.68,1,0,4,668,612,0.92,2.54,0
Villarreal vs Oviedo,Oviedo,Villarreal,Oviedo,2,0,2-0,4,1,5,0,3,2,8,1,1,0.32,2,1,8,325,266,0.82,0.94,0
Mallorca vs Barcelona,Mallorca,Mallorca,Barcelona,0,3,0-3,1,2,4,1,3,1,8,3,2,0.29,4,2,5,225,153,0.68,0.21,0
Mallorca vs Barcelona,Barcelona,Mallorca,Barcelona,0,3,0-3,8,9,24,7,11,13,17,6,3,0.71,1,0,1,570,506,0.89,2.14,0
Valencia vs Real Sociedad,Valencia,Valencia,Real Sociedad,1,1,1-1,2,7,18,9,11,7,5,8,1,0.54,1,0,2,395,341,0.86,2.04,0
Valencia vs Real Sociedad,Real Sociedad,Valencia,Real Sociedad,1,1,1-1,3,7,13,3,6,7,11,7,2,0.46,2,0,1,340,294,0.86,0.81,0
Alaves vs Levante,Alaves,Alaves,Levante,2,1,2-1,4,7,15,4,10,5,15,10,1,0.62,0,0,2,471,382,0.81,1.29,0
Alaves vs Levante,Levante,Alaves,Levante,2,1,2-1,3,1,7,3,4,3,13,1,3,0.38,1,0,2,296,199,0.67,0.87,0
Celta Vigo vs Getafe,Celta Vigo,Celta Vigo,Getafe,0,2,0-2,3,3,11,5,6,5,15,9,2,0.69,3,0,1,571,501,0.88,0.73,0
Celta Vigo vs Getafe,Getafe,Celta Vigo,Getafe,0,2,0-2,3,3,10,4,6,4,17,3,0,0.31,2,0,4,257,187,0.73,1.43,0
