entity_type,league,season,team,matches_played,goals,assists,goals_for_pm,assists_pm,shots_for_pm,sot_for_pm,shots_against_pm,sot_against_pm,expected_goals,goals_prevented,possession,pass_accuracy_pct,_sot_ratio_for,_conv_rate_for,dominance_index,control_index,aggression_index_norm,corners_pm,fouls_committed,fouls_pm,yellows_pm,reds_pm,cards_pm,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,avg_goals_last_5,avg_cards_last_5,form_index_team,style_tags,summary_nl,sum_minutes,yellow_cards,red_cards,corners,_shots_for,_sot_for,_shots_against,_sot_against,passes_total,accurate_passes,_pass_acc_for,cards_total_sum,fouls_per_90_calc,cards_per_90_calc
team,LaLiga,2025/26,Alaves,26,22,12,0.8461538461538461,0.46153846153846156,9.038461538461538,3.9615384615384617,12.0,3.9615384615384617,1.18,0.038461538461538464,0.51,80.90609114420762,0.0,0.0,0.2765274725230769,0.6123363349076923,0.5188554907846155,5.076923076923077,397,15.26923076923077,2.3076923076923075,0.11538461538461539,2.423076923076923,15.26923076923077,2.423076923076923,0.1675114446846154,0.5898637041038461,0.8666666666653846,2.458974358973077,-0.3043589743576923,"['aggressive', 'control-high']","Alaves: 26 matches | 0.85 goals/match | xG 1.18/match | possession 51% | SOT ratio 0.00 | control 0.61 | dominance 0.28 | cards 2.42/match | fouls 15.3/match | tags: aggressive, control-high",25927,60,3,132,235,103,312,103,11213,9072,80.37067935692309,63,15.159100551548578,2.40560033941451
team,LaLiga,2025/26,Athletic Club,25,28,17,1.12,0.68,10.04,4.64,14.48,4.64,1.4844,0.0,0.49560000000000004,80.50798537617857,0.0,0.0,0.275954285716,0.606977862484,0.462073950572,5.44,345,13.8,2.28,0.16,2.44,13.8,2.44,0.19522431643600002,0.594816090516,1.124,2.596,-0.21680000000000002,"['aggressive', 'control-high']","Athletic Club: 25 matches | 1.12 goals/match | xG 1.48/match | possession 50% | SOT ratio 0.00 | control 0.61 | dominance 0.28 | cards 2.44/match | fouls 13.8/match | tags: aggressive, control-high",24713,57,4,136,251,116,362,116,10394,8368,79.7735173596,61,13.820661190466556,2.4436531380245214
team,LaLiga,2025/26,Atletico Madrid,25,38,24,1.52,0.96,10.6,5.56,13.24,5.56,1.5776,0.12,0.5488000000000001,85.97966516321382,0.0,0.0,0.317805714284,0.6899722475840001,0.355595052448,6.88,286,11.44,1.8,0.08,1.88,11.44,1.88,0.176483751544,0.503812008772,1.492666666668,1.936,0.16553333333200002,"['aggressive', 'control-high']","Atletico Madrid: 25 matches | 1.52 goals/match | xG 1.58/match | possession 55% | SOT ratio 0.00 | control 0.69 | dominance 0.32 | cards 1.88/match | fouls 11.4/match | tags: aggressive, control-high",24761,45,2,172,265,139,331,139,13081,11247,85.54833422880002,47,11.434917814304752,1.8791648156374943
team,LaLiga,2025/26,Barcelona,25,66,51,2.64,2.04,14.88,7.44,20.64,7.44,2.5664,-0.08,0.69,89.65918842711781,0.0,0.0,0.386285714276,0.7649397482720001,0.262248763612,7.72,230,9.2,1.6,0.08,1.68,9.2,1.68,0.190130718956,0.41531202072,2.787333333332,1.526,0.935866666668,"['possession-heavy', 'aggressive', 'control-high']","Barcelona: 25 matches | 2.64 goals/match | xG 2.57/match | possession 69% | SOT ratio 0.00 | control 0.76 | dominance 0.39 | cards 1.68/match | fouls 9.2/match | tags: possession-heavy, aggressive, control-high",24851,40,2,193,372,186,516,186,16314,14627,89.218526096,42,9.162609150537202,1.6731721057502715
team,LaLiga,2025/26,Celta Vigo,25,34,20,1.36,0.8,8.36,4.12,11.24,4.12,1.4128,0.0,0.5136,86.01488119049525,0.0,0.0,0.265440000012,0.6549063830240001,0.364535025276,4.2,291,11.64,1.84,0.04,1.88,11.64,1.88,0.164394882892,0.5773434028359999,1.3653333333320001,1.906,0.110866666668,"['aggressive', 'control-high']","Celta Vigo: 25 matches | 1.36 goals/match | xG 1.41/match | possession 51% | SOT ratio 0.00 | control 0.65 | dominance 0.27 | cards 1.88/match | fouls 11.6/match | tags: aggressive, control-high",24792,46,1,105,209,103,281,103,12499,10751,85.39029915840001,47,11.6202807357212,1.8768151016456922
team,LaLiga,2025/26,Elche,25,31,23,1.24,0.92,7.88,3.76,10.76,3.76,1.1252000000000002,0.04,0.5836,85.98611869297356,0.0,0.0,0.285440000008,0.653838986796,0.40609332379600005,3.64,314,12.56,2.08,0.08,2.16,12.56,2.16,0.19779003743600002,0.523457644924,1.2160000000000002,2.0966666666680003,-0.021,"['possession-heavy', 'aggressive', 'control-high']","Elche: 25 matches | 1.24 goals/match | xG 1.13/match | possession 58% | SOT ratio 0.00 | control 0.65 | dominance 0.29 | cards 2.16/match | fouls 12.6/match | tags: possession-heavy, aggressive, control-high",24899,52,2,91,197,94,269,94,12823,11026,85.26905049320001,54,12.484838748544119,2.1470741796859314
team,LaLiga,2025/26,Espanyol,25,30,19,1.2,0.76,9.28,4.16,12.52,4.16,1.3288,0.04,0.424,79.41896705253785,0.0,0.0,0.23245714285600003,0.5697953935000001,0.416874518124,4.4,322,12.88,2.0,0.08,2.08,12.88,2.08,0.16423215242800002,0.535110016868,1.218666666668,1.984666666668,0.013933333332000001,"['counter-oriented', 'aggressive']","Espanyol: 25 matches | 1.20 goals/match | xG 1.33/match | possession 42% | SOT ratio 0.00 | control 0.57 | dominance 0.23 | cards 2.08/match | fouls 12.9/match | tags: counter-oriented, aggressive",24830,50,2,110,232,104,313,104,8984,7135,78.5585774484,52,12.838501812323802,2.073298429319372
team,LaLiga,2025/26,Getafe,25,20,17,0.8,0.68,6.64,2.72,9.64,2.72,0.7464,-0.04,0.4132,70.24175237077601,0.0,0.0,0.22985142858,0.50308623236,0.500039947204,4.52,367,14.68,2.48,0.12,2.6,14.68,2.6,0.18944907706400002,0.590471253432,0.894,2.696666666668,-0.36200000000000004,"['counter-oriented', 'aggressive']","Getafe: 25 matches | 0.80 goals/match | xG 0.75/match | possession 41% | SOT ratio 0.00 | control 0.50 | dominance 0.23 | cards 2.60/match | fouls 14.7/match | tags: counter-oriented, aggressive",24691,62,3,113,166,68,241,68,7487,5259,69.4904294284,65,14.715078368636345,2.6062127900854564
team,LaLiga,2025/26,Girona,25,26,18,1.04,0.72,6.88,3.88,9.84,3.92,1.2612,0.0,0.48800000000000004,84.69186671443927,0.0,0.0,0.25291428572,0.626687806664,0.356868316408,4.04,276,11.04,2.32,0.28,2.6,11.04,2.6,0.23661646523200003,0.5054964688200001,1.107333333332,2.562,-0.21493333333200002,"['aggressive', 'control-high']","Girona: 25 matches | 1.04 goals/match | xG 1.26/match | possession 49% | SOT ratio 0.00 | control 0.63 | dominance 0.25 | cards 2.60/match | fouls 11.0/match | tags: aggressive, control-high",24696,58,7,101,172,97,246,98,11164,9455,84.0663833876,65,11.064139941690962,2.6056851311953353
team,LaLiga,2025/26,Levante,26,28,16,1.0769230769230769,0.6153846153846154,7.423076923076923,3.230769230769231,11.0,3.230769230769231,1.2526923076923078,0.15384615384615385,0.42076923076923073,78.8447030930057,0.0,0.0,0.22160439560384615,0.5564251616692307,0.3935895616269231,3.730769230769231,316,12.153846153846153,2.1923076923076925,0.11538461538461539,2.3076923076923075,12.153846153846153,2.3076923076923075,0.19080432198846153,0.5151425079461538,1.0858974358961537,2.1570512820500003,-0.10416666666538463,"['counter-oriented', 'aggressive']","Levante: 26 matches | 1.08 goals/match | xG 1.25/match | possession 42% | SOT ratio 0.00 | control 0.56 | dominance 0.22 | cards 2.31/match | fouls 12.2/match | tags: counter-oriented, aggressive",25858,57,3,97,193,84,286,84,9279,7316,77.34537550192307,60,12.098383479000695,2.297161420063423
team,LaLiga,2025/26,Mallorca,25,29,19,1.16,0.76,8.08,3.8,10.12,3.84,1.078,-0.04,0.43799999999999994,79.33752263286824,0.0,0.0,0.22434285715600003,0.5632737025,0.37304846324,3.44,289,11.56,2.24,0.12,2.36,11.56,2.36,0.218115995116,0.603511052128,1.107333333332,2.5806666666680003,-0.220533333332,"['counter-oriented', 'aggressive']","Mallorca: 25 matches | 1.16 goals/match | xG 1.08/match | possession 44% | SOT ratio 0.00 | control 0.56 | dominance 0.22 | cards 2.36/match | fouls 11.6/match | tags: counter-oriented, aggressive",24825,56,3,86,202,95,253,96,9389,7449,77.8647655612,59,11.525075528700906,2.352870090634441
