player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
6,Leonardo Balerdi,Marseille,D,1177,0.0,1.0,9.0,3.0,973,907.0,30.0,15.0,14.0,15.0,4,0,70.0,127.0,0.0,0.076,0.333,93.217,55.118,3.441,0.573
9,Achraf Hakimi,Paris Saint Germain,D,639,2.0,0.0,7.0,4.0,621,576.0,9.0,4.0,6.0,6.0,2,1,17.0,56.0,0.282,0.0,0.571,92.754,30.357,1.831,0.775
9,Achraf Hakimi,Paris Saint Germain,M,90,0.0,0.0,2.0,1.0,78,67.0,3.0,0.0,1.0,2.0,0,0,7.0,11.0,0.0,0.0,0.5,85.897,63.636,3.0,0.25
33,Lucas Hernández,Paris Saint Germain,D,985,0.0,1.0,3.0,1.0,876,806.0,13.0,11.0,14.0,13.0,2,0,40.0,71.0,0.0,0.091,0.333,92.009,56.338,2.193,0.503
68,Clinton Mata,Lyon,D,1756,0.0,0.0,3.0,0.0,1161,1048.0,29.0,15.0,23.0,25.0,4,0,83.0,145.0,0.0,0.0,0.0,90.267,57.241,2.255,0.5
81,Krépin Diatta,Monaco,D,90,0.0,0.0,0.0,0.0,51,45.0,2.0,1.0,1.0,1.0,0,0,8.0,12.0,0.0,0.0,,88.235,66.667,3.0,0.25
81,Krépin Diatta,Monaco,M,717,0.0,1.0,3.0,1.0,300,229.0,26.0,13.0,5.0,5.0,1,0,50.0,75.0,0.0,0.126,0.333,76.333,66.667,4.895,0.282
102,Djibril Sidibé,Toulouse,D,554,1.0,0.0,1.0,1.0,276,230.0,11.0,2.0,8.0,4.0,1,0,20.0,35.0,0.162,0.0,1.0,83.333,57.143,2.112,0.487
102,Djibril Sidibé,Toulouse,M,897,1.0,3.0,3.0,2.0,279,208.0,20.0,5.0,9.0,7.0,0,0,40.0,69.0,0.1,0.301,0.667,74.552,57.971,2.508,0.226
105,Fodé Ballo-Touré,Metz,D,404,0.0,0.0,2.0,1.0,164,149.0,8.0,5.0,11.0,14.0,2,0,30.0,57.0,0.0,0.0,0.5,90.854,52.632,2.896,1.058
105,Fodé Ballo-Touré,Metz,M,230,0.0,0.0,1.0,0.0,92,84.0,8.0,0.0,0.0,2.0,0,0,15.0,20.0,0.0,0.0,0.0,91.304,75.0,3.13,0.0
107,Sofiane Diop,Nice,F,841,6.0,2.0,19.0,8.0,326,260.0,4.0,6.0,12.0,25.0,2,0,40.0,93.0,0.642,0.214,0.421,79.755,43.011,1.07,0.535
107,Sofiane Diop,Nice,M,483,1.0,0.0,9.0,3.0,217,172.0,6.0,7.0,3.0,13.0,2,0,27.0,57.0,0.186,0.0,0.333,79.263,47.368,2.422,0.512
109,Aleksandr Golovin,Monaco,F,207,0.0,1.0,3.0,1.0,88,68.0,2.0,4.0,3.0,2.0,0,0,5.0,12.0,0.0,0.435,0.333,77.273,41.667,2.609,0.326
109,Aleksandr Golovin,Monaco,M,861,2.0,1.0,12.0,9.0,353,290.0,17.0,13.0,17.0,8.0,1,0,39.0,92.0,0.209,0.105,0.75,82.153,42.391,3.136,0.549
120,Willem Geubbels,Paris FC,F,703,3.0,0.0,20.0,6.0,141,100.0,1.0,4.0,14.0,2.0,0,0,28.0,89.0,0.384,0.0,0.3,70.922,31.461,0.64,0.448
153,Ousmane Dembélé,Paris Saint Germain,F,614,7.0,4.0,21.0,10.0,487,412.0,4.0,0.0,2.0,2.0,0,0,23.0,46.0,1.026,0.586,0.476,84.6,50.0,0.586,0.073
175,Eric Dier,Monaco,D,672,1.0,0.0,2.0,2.0,583,546.0,7.0,10.0,9.0,4.0,0,0,23.0,50.0,0.134,0.0,1.0,93.654,46.0,2.277,0.301
231,Jordan Teze,Monaco,D,758,0.0,0.0,3.0,0.0,450,382.0,28.0,8.0,7.0,9.0,3,0,49.0,78.0,0.0,0.0,0.0,84.889,62.821,4.274,0.564
231,Jordan Teze,Monaco,M,755,0.0,0.0,3.0,2.0,404,341.0,11.0,10.0,18.0,11.0,3,0,27.0,68.0,0.0,0.0,0.667,84.406,39.706,2.503,0.894
240,Pablo Rosario,Nice,M,27,0.0,0.0,2.0,1.0,16,15.0,1.0,0.0,0.0,0.0,0,0,3.0,5.0,0.0,0.0,0.5,93.75,60.0,3.333,0.0
257,Marquinhos,Paris Saint Germain,D,779,0.0,0.0,1.0,0.0,693,660.0,15.0,6.0,7.0,1.0,0,0,33.0,55.0,0.0,0.0,0.0,95.238,60.0,2.426,0.202
261,Thilo Kehrer,Monaco,D,1288,0.0,0.0,10.0,1.0,903,785.0,29.0,20.0,18.0,19.0,6,2,86.0,140.0,0.0,0.0,0.1,86.932,61.429,3.424,1.013
264,Thomas Meunier,Lille,D,1164,0.0,0.0,7.0,1.0,599,489.0,18.0,11.0,17.0,1.0,2,0,39.0,84.0,0.0,0.0,0.143,81.636,46.429,2.242,0.483
272,Adrien Rabiot,Marseille,M,90,0.0,0.0,1.0,0.0,41,39.0,0.0,0.0,2.0,1.0,1,0,1.0,5.0,0.0,0.0,0.0,95.122,20.0,0.0,1.5
328,Fabián Ruiz,Paris Saint Germain,M,795,1.0,2.0,10.0,4.0,843,779.0,10.0,8.0,1.0,1.0,1,0,13.0,30.0,0.113,0.226,0.4,92.408,43.333,2.038,0.142
375,Chancel Mbemba,Lille,D,682,0.0,0.0,4.0,3.0,431,391.0,14.0,8.0,9.0,5.0,2,0,31.0,54.0,0.0,0.0,0.75,90.719,57.407,2.903,0.561
407,Benjamin Stambouli,Metz,M,746,0.0,0.0,4.0,1.0,375,301.0,19.0,5.0,12.0,8.0,0,0,36.0,63.0,0.0,0.0,0.25,80.267,57.143,2.895,0.362
409,Nabil Bentaleb,Lille,M,703,2.0,1.0,11.0,5.0,537,467.0,5.0,5.0,5.0,13.0,1,0,29.0,56.0,0.256,0.128,0.455,86.965,51.786,1.28,0.288
421,Breel Embolo,Rennes,F,1311,5.0,2.0,20.0,10.0,238,175.0,15.0,4.0,34.0,38.0,3,0,78.0,181.0,0.343,0.137,0.5,73.529,43.094,1.304,0.789
483,Khvicha Kvaratskhelia,Paris Saint Germain,F,867,4.0,3.0,26.0,16.0,500,430.0,15.0,6.0,12.0,16.0,1,0,59.0,126.0,0.415,0.311,0.615,86.0,46.825,2.18,0.415
519,Corentin Tolisso,Lyon,F,315,0.0,1.0,7.0,4.0,145,122.0,2.0,2.0,7.0,3.0,0,0,12.0,39.0,0.0,0.286,0.571,84.138,30.769,1.143,0.5
519,Corentin Tolisso,Lyon,M,1129,3.0,0.0,18.0,12.0,671,573.0,17.0,11.0,21.0,30.0,4,0,73.0,150.0,0.239,0.0,0.667,85.395,48.667,2.232,0.737
529,Nicolás Tagliafico,Lyon,D,977,0.0,3.0,8.0,1.0,523,453.0,20.0,15.0,26.0,25.0,3,1,65.0,125.0,0.0,0.276,0.125,86.616,52.0,3.224,1.059
