team,home_goals_for,away_goals_for,Shots on Goal_for,Shots off Goal_for,Total Shots_for,Blocked Shots_for,Shots insidebox_for,Shots outsidebox_for,Fouls_for,Corner Kicks_for,Offsides_for,Ball Possession_for,Yellow Cards_for,Red Cards_for,Goalkeeper Saves_for,Total passes_for,Passes accurate_for,Passes %_for,expected_goals_for,goals_prevented_for,home_goals_against,away_goals_against,Shots on Goal_against,Shots off Goal_against,Total Shots_against,Blocked Shots_against,Shots insidebox_against,Shots outsidebox_against,Fouls_against,Corner Kicks_against,Offsides_against,Ball Possession_against,Yellow Cards_against,Red Cards_against,Goalkeeper Saves_against,Total passes_against,Passes accurate_against,Passes %_against,expected_goals_against,goals_prevented_against
Angers,1.4,0.9,3.6,3.3,9.5,2.6,5.8,3.8,11.0,3.7,1.7,0.4,1.4,0.0,3.9,413.4,343.1,0.8,1.0,0.1,1.4,0.9,5.1,5.9,14.1,3.0,8.8,5.3,11.6,5.2,1.1,0.6,1.3,0.1,2.6,560.5,489.0,0.9,1.6,0.1
Auxerre,1.3,0.8,3.2,4.0,10.7,3.4,6.7,4.0,13.5,5.0,1.2,0.4,2.2,0.3,3.5,383.8,311.1,0.8,1.1,0.0,1.3,0.8,4.8,4.4,11.8,2.6,7.9,4.0,14.0,4.6,1.5,0.6,2.6,0.2,2.6,489.3,419.4,0.9,1.5,0.0
Le Havre,1.4,0.7,3.8,4.7,11.2,2.7,6.5,4.7,13.8,4.8,1.6,0.5,1.9,0.0,2.6,379.6,307.8,0.8,1.1,0.0,1.4,0.7,3.8,4.8,12.1,3.5,8.1,4.0,13.7,4.6,1.9,0.5,2.1,0.1,2.7,455.0,385.9,0.8,1.4,0.0
Lens,1.6,1.0,5.0,5.5,13.8,3.3,9.8,4.0,14.0,5.5,2.0,0.5,2.1,0.2,2.5,451.8,381.8,0.8,1.9,0.1,1.6,1.0,3.3,4.6,11.8,3.9,7.6,4.2,13.1,4.2,1.0,0.5,2.3,0.2,3.2,473.6,398.1,0.8,1.3,0.1
Lille,1.7,1.4,4.7,5.2,14.3,4.4,9.9,4.4,11.8,6.0,1.2,0.5,2.1,0.2,2.4,479.8,407.2,0.8,1.7,0.1,1.7,1.4,3.8,3.9,10.1,2.5,6.4,3.7,13.5,4.0,1.4,0.5,2.0,0.1,3.1,413.8,344.5,0.8,1.4,0.1
Lorient,1.8,1.1,3.9,5.0,11.7,2.8,7.4,4.2,10.1,3.2,1.7,0.4,1.8,0.0,2.3,415.3,349.7,0.8,1.3,0.0,1.8,1.1,4.0,4.0,10.6,2.7,7.0,3.5,14.6,5.3,1.1,0.6,2.1,0.2,2.6,537.0,472.5,0.9,1.4,0.0
Lyon,1.4,1.1,4.9,4.2,12.4,3.3,8.4,4.0,14.0,5.7,1.4,0.5,1.9,0.3,2.4,463.7,397.7,0.8,1.6,0.0,1.4,1.1,3.4,4.3,11.0,3.4,6.9,4.1,13.5,4.6,1.9,0.5,2.4,0.3,3.2,384.6,319.0,0.8,1.1,0.0
Marseille,2.0,1.4,5.7,5.1,14.3,3.5,9.0,5.3,12.6,4.9,1.2,0.6,2.0,0.2,2.9,573.0,511.3,0.9,1.9,-0.3,2.0,1.4,4.2,3.3,10.1,2.6,7.1,3.0,11.0,3.7,2.6,0.4,1.6,0.2,3.5,400.3,339.7,0.8,1.4,-0.3
Metz,1.9,1.3,3.0,3.4,8.9,2.4,5.5,3.4,10.9,3.9,1.3,0.5,1.6,0.2,3.9,450.0,386.4,0.9,1.0,0.0,1.9,1.3,6.0,5.7,14.9,3.2,9.9,5.0,11.1,5.0,1.4,0.5,1.4,0.0,2.0,481.8,420.3,0.9,1.9,0.0
Monaco,1.8,1.3,4.1,5.0,12.4,3.3,9.2,3.2,13.5,4.8,2.4,0.5,2.3,0.2,2.7,471.3,395.0,0.8,1.7,0.0,1.8,1.3,4.4,5.0,13.1,3.7,8.2,4.9,11.4,4.3,1.0,0.5,1.7,0.2,2.7,412.6,334.1,0.8,1.5,0.0
Nantes,1.2,1.5,2.9,4.5,10.4,3.0,6.5,4.0,12.6,3.2,1.3,0.4,2.0,0.0,3.3,374.4,301.0,0.8,1.0,0.0,1.2,1.5,5.0,5.9,14.7,3.8,9.9,4.8,13.6,5.8,2.8,0.6,2.4,0.1,2.0,476.7,408.2,0.8,1.6,0.0
Nice,1.8,1.3,4.2,4.4,11.8,3.1,7.4,4.4,12.8,5.1,1.6,0.5,2.3,0.1,3.6,428.4,357.1,0.8,1.2,-0.2,1.8,1.3,5.4,5.5,15.4,4.5,9.4,6.0,12.6,5.6,0.7,0.5,1.8,0.0,3.0,460.8,388.0,0.8,1.8,-0.2
