fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
lorient vs monaco,monaco,0,Pape Cabral,M,9,6.7,0.0,0.0,1.0,1.0,13,13.0,100.0,1.0,1.0,0.0,0.0,0,0,1.0,3.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,4.02,0.0,0.4419326843170251,-0.55,0.6769435055528731,lorient,0.34840542877817193,2,10.0,-0.35,0.6206037511146221,0,0,0.09352725553885316,-0.20000000000000007,0.05633975443825101,0,0.0,0.0
paris saint germain vs auxerre,paris saint germain,0,Mathis Jangeal,F,10,6.3,0.0,0.0,0.0,0.0,9,9.0,100.0,0.0,0.0,1.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,0.0,0.5,6.5,0.0,0.0,0.0,3.9,0.08000000000000014,0.6201405854871203,0.32,0.7196414919178681,auxerre,0.3463562042478757,2,10.0,-0.6399999999999999,0.5487192467697055,0,0,0.27378438123924453,0.96,0.17092224514816257,0,0.0,0.0
lyon vs marseille,marseille,6,Leonardo Balerdi,D,90,7.2,0.0,0.0,0.0,0.0,47,41.0,87.2,2.0,0.0,1.0,1.0,0,0,6.0,10.0,0.0,0.0,0.6,0.2,0.0,0,0.0,1.0,0.0,0.1,7.2,0.0,0.0,0.0,4.32,0.0,0.425530788372955,-0.8999999999999999,0.5406885021006602,lyon,0.6123561936025534,2,16.0,-0.375,0.6760935929513912,0,0,-0.18682540522959845,-0.5249999999999999,-0.13540509085073094,0,0.0,0.0
marseille vs le havre,marseille,6,Leonardo Balerdi,D,90,6.9,0.0,0.0,0.0,0.0,99,97.0,98.0,3.0,0.0,2.0,0.0,0,0,5.0,9.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0,0.0,2.0,0.0,0.2222222222222222,7.050000000000001,0.0,0.0,0.0,4.23,0.04500000000000008,0.6588629451180412,0.75,0.702010569236547,le havre,0.4819776095256585,2,13.0,0.30000000000000004,0.46553497545807315,0,0,0.17688533559238273,0.44999999999999996,0.23647559377847388,0,0.0,0.0
marseille vs paris fc,marseille,6,Leonardo Balerdi,D,90,7.2,0.0,0.0,1.0,1.0,97,92.0,94.8,0.0,0.0,0.0,1.0,0,0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.1000000000000005,0.0,0.0,0.0,4.26,0.02999999999999999,0.285411734450756,1.2000000000000002,0.6993286059926377,paris fc,0.3848124308229142,0,12.0,0.2,0.5793658458071785,0,0,-0.0994006963721582,1.0000000000000002,0.11996276018545915,0,0.0,0.0
marseille vs paris saint germain,marseille,6,Leonardo Balerdi,D,90,7.2,0.0,0.0,0.0,0.0,23,20.0,87.0,3.0,3.0,1.0,1.0,0,0,5.0,10.0,0.0,0.0,0.5,0.3,0.0,0,0.0,1.0,0.0,0.1,7.125,0.0,0.0,0.0,4.2749999999999995,0.02249999999999999,0.628279821446197,0.8800000000000001,0.5554065933518613,paris saint germain,0.17098661737831536,0,7.0,0.1,0.6983681719130547,0,0,0.45729320406788165,0.7800000000000001,-0.1429615785611934,0,0.0,0.0
metz vs marseille,marseille,6,Leonardo Balerdi,D,26,7.0,0.0,0.0,0.0,0.0,29,29.0,100.0,1.0,1.0,0.0,0.0,0,0,2.0,2.0,0.0,0.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0.0,7.075,0.0,0.0,0.0,4.245,0.022499999999999937,0.17075467137506592,1.3599999999999999,0.7039417955233953,metz,0.2159510068653924,0,8.0,-0.175,0.5940122324159022,0,0,-0.04519633549032648,1.535,0.10992956310749313,0,0.0,0.0
rennes vs marseille,marseille,6,Leonardo Balerdi,D,90,7.7,0.0,0.0,2.0,1.0,94,92.0,97.9,5.0,0.0,1.0,1.0,1,0,7.0,11.0,0.5,0.0,0.6363636363636364,0.45454545454545453,0.0,1,1.0,1.0,1.0,0.09090909090909091,7.275,0.0,0.0,0.0,4.365,0.0891666666666673,0.418471258890595,0.7000000000000001,0.8277891356384112,rennes,0.2933343108066463,3,8.0,0.27999999999999997,0.4866740965671706,0,0,0.1251369480839487,0.4200000000000001,0.3411150390712406,0,0.0,0.0
strasbourg vs marseille,marseille,6,Leonardo Balerdi,D,90,7.0,0.0,0.0,2.0,0.0,69,64.0,92.8,3.0,2.0,1.0,3.0,1,0,8.0,10.0,0.0,0.0,0.8,0.3,0.0,1,1.0,1.0,1.0,0.1,7.225,0.0,0.0,0.0,4.335,0.10916666666666713,0.6141525917297612,0.44000000000000006,0.6702927042376584,strasbourg,0.47782593385388955,2,13.0,0.52,0.5936249620655041,0,0,0.13632665787587167,-0.07999999999999996,0.07666774217215433,0,0.0,0.0
lille vs paris saint germain,paris saint germain,9,Achraf Hakimi,D,31,6.2,0.0,0.0,1.0,0.0,20,17.0,85.0,1.0,0.0,1.0,1.0,0,0,2.0,5.0,0.0,0.0,0.4,0.2,0.0,0,0.0,2.903225806451613,0.0,0.2,6.2,0.0,0.0,0.0,3.7199999999999998,0.0,0.41379432060853144,0.2,0.7204286939658388,lille,0.3642287022819929,1,11.0,-0.42499999999999993,0.5639152575017884,0,0,0.04956561832653855,0.625,0.15651343646405036,0,0.0,0.0
marseille vs paris saint germain,paris saint germain,9,Achraf Hakimi,F,90,7.0,0.0,0.0,2.0,1.0,78,67.0,85.9,3.0,0.0,1.0,2.0,0,0,7.0,11.0,0.5,0.0,0.6363636363636364,0.2727272727272727,0.0,0,0.0,1.0,0.0,0.09090909090909091,6.6,0.0,0.0,0.0,3.9599999999999995,0.32000000000000023,0.17098661737831536,0.1,0.6983681719130547,marseille,0.628279821446197,3,16.0,0.8800000000000001,0.5554065933518613,0,0,-0.45729320406788165,-0.7800000000000001,0.1429615785611934,0,0.0,0.0
nantes vs paris saint germain,paris saint germain,9,Achraf Hakimi,D,30,6.9,0.0,0.0,0.0,0.0,28,26.0,92.9,1.0,0.0,1.0,0.0,1,0,1.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1,3.0,3.0,1.0,0.3333333333333333,6.7,0.0,0.0,0.0,4.02,0.19000000000000022,0.1539153915391539,0.13333333333333333,0.7720121830916444,nantes,0.15213058307728305,1,6.0,-0.13333333333333333,0.4863874134878481,0,0,0.001784808461870846,0.26666666666666666,0.28562476960379635,0,0.0,0.0
paris saint germain vs angers,paris saint germain,9,Achraf Hakimi,D,90,6.6,0.0,0.0,1.0,0.0,129,122.0,94.6,1.0,1.0,1.0,0.0,0,0,3.0,13.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0,0.0,1.0,0.0,0.07692307692307693,6.675,0.0,0.0,0.0,4.005,0.12916666666666685,0.0,0.225,0.9178899082568808,angers,0.25262746862921587,0,9.0,-0.15999999999999998,0.4211714890613973,0,0,-0.25262746862921587,0.385,0.4967184191954835,0,0.0,0.0
paris saint germain vs auxerre,paris saint germain,9,Achraf Hakimi,D,54,6.9,0.0,0.0,0.0,0.0,46,39.0,84.8,2.0,0.0,1.0,1.0,0,0,3.0,6.0,0.0,0.0,0.5,0.3333333333333333,0.0,0,0.0,1.6666666666666665,0.0,0.16666666666666666,6.8500000000000005,0.0,0.0,0.0,4.11,0.030000000000000346,0.6201405854871203,0.32,0.7196414919178681,auxerre,0.3463562042478757,2,10.0,-0.6399999999999999,0.5487192467697055,0,0,0.27378438123924453,0.96,0.17092224514816257,0,0.0,0.0
paris saint germain vs lens,paris saint germain,9,Achraf Hakimi,D,90,6.7,0.0,0.0,0.0,0.0,66,62.0,93.9,1.0,0.0,0.0,1.0,0,0,2.0,6.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,6.775,0.0,0.0,0.0,4.065,0.02250000000000031,0.32586395894491405,0.42,0.7481663275384048,lens,0.2615928259492616,2,8.0,0.32000000000000006,0.5613384417570197,0,0,0.06427113299565246,0.09999999999999992,0.1868278857813851,0,0.0,0.0
toulouse vs paris saint germain,paris saint germain,9,Achraf Hakimi,D,90,5.2,0.0,0.0,1.0,1.0,76,69.0,90.8,2.0,1.0,0.0,0.0,0,0,2.0,6.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,3.8099999999999996,0.6033333333333334,0.34209807535375386,1.16,0.818520197709978,toulouse,0.19471358900595942,1,7.0,0.5399999999999999,0.5306512163950887,0,0,0.14738448634779444,0.62,0.28786898131488925,0,0.0,0.0
lille vs paris saint germain,paris saint germain,33,Lucas Hernández,D,68,7.6,0.0,0.0,1.0,0.0,69,66.0,95.7,0.0,1.0,2.0,1.0,1,0,2.0,5.0,0.0,0.0,0.4,0.0,0.0,1,1.3235294117647058,2.6470588235294117,0.5,0.4,7.6,0.0,0.0,0.0,4.56,0.0,0.41379432060853144,0.2,0.7204286939658388,lille,0.3642287022819929,1,11.0,-0.42499999999999993,0.5639152575017884,0,0,0.04956561832653855,0.625,0.15651343646405036,0,0.0,0.0
nantes vs paris saint germain,paris saint germain,33,Lucas Hernández,D,61,6.9,0.0,0.0,1.0,1.0,50,44.0,88.0,0.0,1.0,0.0,1.0,0,0,2.0,3.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,4.35,0.2449999999999995,0.1539153915391539,0.13333333333333333,0.7720121830916444,nantes,0.15213058307728305,1,6.0,-0.13333333333333333,0.4863874134878481,0,0,0.001784808461870846,0.26666666666666666,0.28562476960379635,0,0.0,0.0
paris saint germain vs auxerre,paris saint germain,33,Lucas Hernández,D,90,7.6,0.0,0.0,0.0,0.0,72,63.0,87.5,1.0,2.0,2.0,2.0,0,0,7.0,10.0,0.0,0.0,0.7,0.1,0.0,0,0.0,2.0,0.0,0.2,7.366666666666667,0.0,0.0,0.0,4.42,0.16333333333333305,0.6201405854871203,0.32,0.7196414919178681,auxerre,0.3463562042478757,2,10.0,-0.6399999999999999,0.5487192467697055,0,0,0.27378438123924453,0.96,0.17092224514816257,0,0.0,0.0
paris saint germain vs lens,paris saint germain,33,Lucas Hernández,D,90,6.9,0.0,0.0,0.0,0.0,89,88.0,98.9,0.0,0.0,2.0,1.0,0,0,1.0,6.0,0.0,0.0,0.16666666666666666,0.0,0.0,0,0.0,2.0,0.0,0.3333333333333333,7.25,0.0,0.0,0.0,4.35,0.163333333333333,0.32586395894491405,0.42,0.7481663275384048,lens,0.2615928259492616,2,8.0,0.32000000000000006,0.5613384417570197,0,0,0.06427113299565246,0.09999999999999992,0.1868278857813851,0,0.0,0.0
paris saint germain vs strasbourg,paris saint germain,33,Lucas Hernández,D,90,6.2,0.0,0.0,0.0,0.0,91,86.0,94.5,1.0,0.0,3.0,0.0,1,0,3.0,7.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,1,1.0,3.0,0.3333333333333333,0.42857142857142855,6.8999999999999995,0.0,0.0,0.0,4.14,0.3266666666666666,0.4332691187670803,0.6000000000000001,0.7468654434250764,strasbourg,0.5351110741326234,1,15.0,0.375,0.5228530180220302,0,0,-0.10184195536554308,0.2250000000000001,0.22401242540304622,0,0.0,0.0
lens vs lyon,lyon,68,Clinton Mata,D,90,8.2,0.0,0.0,0.0,0.0,43,39.0,90.7,1.0,1.0,0.0,2.0,0,0,3.0,3.0,0.0,0.0,1.0,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,4.919999999999999,0.0,0.732215868645688,-0.09999999999999998,0.6150729081662092,lens,0.4769233956643746,2,13.0,-0.02499999999999991,0.7233047280349104,0,0,0.2552924729813134,-0.07500000000000007,-0.10823181986870123,0,0.0,0.0
