fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
Angers vs Auxerre,Angers,1.0,0.0,8.0,5.0,444,373.0,19.0,2,0,990,14.0,10.0,0.625,0.8400900900900901,0.66,-1,0.49,3,9,5,0,0,0.25225,0,0,0.5933248615588065,2,19.0,2,0.10526315789473684,0.7916666666666666,10.258333333333333,0.7322557717758933,1.0,2.0,-0.09999999999999998
Angers vs Lens,Angers,1.0,0.0,7.0,5.0,425,330.0,7.0,1,0,990,26.0,15.0,0.7142857142857143,0.7764705882352941,1.16,0,0.45,2,7,5,0,0,0.21750000000000003,0,0,0.5432047130778918,1,7.0,1,0.14285714285714285,0.17073170731707318,3.8341463414634145,0.19378414018442425,1.0,1.5,0.050000000000000044
Angers vs Lorient,Angers,2.0,2.0,5.0,4.0,375,314.0,14.0,1,0,988,15.0,10.0,0.8,0.8373333333333334,0.93,-1,0.37,1,7,4,0,0,0.16674999999999998,0,0,0.5458455657492355,1,14.0,1,0.07142857142857142,0.56,7.412,0.49367776089407384,1.3333333333333333,1.3333333333333333,0.26666666666666666
Angers vs Marseille,Angers,2.0,1.0,5.0,3.0,356,301.0,9.0,1,0,996,22.0,2.0,0.6,0.8455056179775281,0.9400000000000001,0,0.34,6,7,3,0,0,0.2485,0,0,0.606621310517816,1,9.0,1,0.1111111111111111,0.375,4.875,0.28102789078966717,1.5,1.25,0.375
Angers vs Metz,Angers,1.0,1.0,12.0,7.0,666,613.0,11.0,2,0,990,16.0,10.0,0.5833333333333334,0.9204204204204204,1.5,0,0.67,4,17,7,0,0,0.343,0,0,0.7138799349808524,2,11.0,2,0.18181818181818182,0.4230769230769231,6.184615384615384,0.39079909355876213,1.4,1.4,0.27999999999999997
Angers vs Monaco,Angers,1.0,1.0,7.0,3.0,397,327.0,15.0,2,0,990,18.0,11.0,0.42857142857142855,0.8236775818639799,1.77,0,0.42,10,16,3,0,0,0.35550000000000004,0,0,0.6582455187607361,2,15.0,2,0.13333333333333333,0.5172413793103449,8.203448275862069,0.5600164968248683,1.4,1.4,0.27999999999999997
Angers vs Nantes,Angers,4.0,1.0,15.0,9.0,483,413.0,17.0,1,0,989,19.0,10.0,0.6,0.855072463768116,2.39,0,0.54,6,20,9,0,0,0.3285,0,0,0.6502426539024067,1,17.0,1,0.058823529411764705,0.5862068965517241,8.917241379310346,0.6198462211960537,2.0,1.4,0.5800000000000001
Angers vs Paris FC,Angers,1.0,1.0,5.0,2.0,277,206.0,14.0,2,1,971,20.0,4.0,0.4,0.7436823104693141,0.97,0,0.32,3,8,2,0,0,0.18425,0,0,0.49405063535698124,3,14.0,3,0.21428571428571427,0.5833333333333334,8.016666666666667,0.5443605705602668,1.8,1.8,0.36
Angers vs Rennes,Angers,1.0,1.0,10.0,7.0,383,334.0,9.0,2,0,990,15.0,4.0,0.7,0.8720626631853786,1.23,0,0.37,1,10,7,0,0,0.16674999999999998,0,0,0.5656567138556862,2,9.0,2,0.2222222222222222,0.47368421052631576,5.194736842105263,0.30782804764472327,1.6,2.0,0.20000000000000007
Angers vs Stade Brestois 29,Angers,0.0,0.0,7.0,2.0,452,384.0,13.0,1,0,990,8.0,12.0,0.2857142857142857,0.8495575221238938,0.48,0,0.5700000000000001,11,11,2,0,0,0.43425,0,0,0.7005050607561365,1,13.0,1,0.07692307692307693,0.65,6.93,0.453276800156855,1.4,1.8,0.15999999999999992
