fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,pass_accuracy_%,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
sunderland vs aston villa,aston villa,18,Jadon Sancho,F,8,6.3,0.0,0,0.0,0.0,14.0,1.8,0.0,0.0,0.0,0.0,0,0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,3.78,0.0,0.26547914451140253,-0.14,0.5137429032963456,sunderland,0.6737049290812734,3,14.0,-0.46,0.2506162085668786,0,0,-0.4082257845698709,0.32,0.26312669472946704,0,0.0,0.0
aston villa vs burnley,burnley,22,Jacob Bruun Larsen,F,31,6.3,0.0,0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,3.78,0.0,0.6590674110835403,0.2,0.3977282777790939,aston villa,0.3883592355578774,3,9.0,0.10000000000000009,0.5203382192457096,0,0,0.2707081755256629,0.09999999999999992,-0.12260994146661564,0,0.0,0.0
burnley vs leeds,burnley,22,Jacob Bruun Larsen,M,58,6.7,0.0,0,1.0,1.0,14.0,1.3,0.0,0.0,0.0,0.0,0,0,1.0,3.0,9.0,1.0,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,3.9,0.08000000000000014,0.4076682942447771,0.30000000000000004,0.2399758080978048,leeds,0.20198511166253103,1,7.0,-0.44999999999999996,0.6018298576662771,0,0,0.20568318258224605,0.75,-0.3618540495684722,0,0.0,0.0
burnley vs sunderland,burnley,22,Jacob Bruun Larsen,M,69,6.3,0.0,0,1.0,0.0,14.0,1.7,0.0,0.0,0.0,0.0,0,0,1.0,3.0,12.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,6.433333333333334,0.0,0.0,0.0,3.86,0.053333333333333455,0.2822865862354183,0.18,0.4046688067091516,sunderland,0.08643507030603804,1,5.0,-0.3,0.5746458057649158,0,0,0.19585151592938027,0.48,-0.16997699905576413,0,0.0,0.0
manchester city vs burnley,burnley,22,Jacob Bruun Larsen,F,28,6.5,0.0,0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,3.87,0.03666666666666674,0.26916184174248703,0.05999999999999994,0.25626794405346187,manchester city,0.09136338571822443,1,5.0,0.22499999999999998,0.6888524726762676,0,0,0.17779845602426259,-0.16500000000000004,-0.4325845286228057,0,0.0,0.0
manchester united vs burnley,burnley,22,Jacob Bruun Larsen,M,82,6.9,0.0,1,0.0,0.0,19.0,3.4,1.0,2.0,0.0,0.0,0,0,2.0,8.0,18.0,0.0,0.0,0.25,0.125,1.0,0,0.0,0.0,0.0,0.0,6.6,0.0,0.25,0.25,4.06,0.06666666666666683,0.45288211973417764,-0.12,0.2446484965076436,manchester united,0.3213886050698195,1,9.0,0.10000000000000003,0.49542738622633914,0,0,0.13149351466435816,-0.22000000000000003,-0.25077888971869555,0,0.0,0.0
tottenham vs burnley,burnley,22,Jacob Bruun Larsen,F,28,6.2,0.0,0,0.0,0.0,8.0,0.4,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,6.475,0.0,0.25,0.25,3.985,0.09583333333333337,0.23235986511420753,0.05999999999999994,0.25502400060247077,tottenham,0.584049118788573,0,14.0,0.14,0.5254474654657542,0,0,-0.3516892536743655,-0.08000000000000007,-0.2704234648632834,0,0.0,0.0
arsenal vs manchester city,manchester city,44,Rodri,M,90,7.5,0.0,0,1.0,0.0,42.0,15.5,2.0,0.0,0.0,1.0,0,0,8.0,11.0,37.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.0,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,4.5,0.0,0.41296755812884844,-0.09999999999999998,0.23151899583836755,arsenal,0.433085194375517,1,11.0,1.35,0.6724151597472106,0,0,-0.02011763624666857,-1.4500000000000002,-0.440896163908843,0,0.0,0.0
brentford vs manchester city,manchester city,44,Rodri,M,22,6.6,0.0,0,0.0,0.0,25.0,5.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,0.0,4.2299999999999995,0.4050000000000003,0.1796939619520265,-0.09999999999999998,0.6729158276278695,brentford,0.44287442943356936,3,10.0,-0.20000000000000007,0.2878772742024407,0,0,-0.2631804674815429,0.10000000000000009,0.3850385534254288,0,0.0,0.0
brighton vs manchester city,manchester city,44,Rodri,M,90,7.3,0.0,0,1.0,0.0,100.0,87.0,1.0,1.0,0.0,2.0,0,0,6.0,9.0,87.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0,0.0,0.0,0.0,0.0,7.133333333333333,0.0,0.0,0.0,4.279999999999999,0.22333333333333352,0.6410601047697823,-0.09999999999999998,0.5093535332295004,brighton,0.7560794044665013,2,16.0,-0.23333333333333328,0.2841306599160002,0,0,-0.11501929969671909,0.1333333333333333,0.22522287331350016,0,0.0,0.0
