fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total
Liverpool vs Bournemouth,Liverpool,280,Alisson,G,90,6.3,,0,,,38,33.0,86.8,,,,,0,0,,
Liverpool vs Bournemouth,Liverpool,152654,Jeremie Frimpong,D,60,6.9,,0,,,16,12.0,75.0,1.0,1.0,,1.0,0,0,3.0,4.0
Liverpool vs Bournemouth,Liverpool,1145,Ibrahima Konaté,D,90,6.5,,0,,,33,29.0,87.9,,,,,0,0,2.0,4.0
Liverpool vs Bournemouth,Liverpool,290,Virgil van Dijk,D,90,7.7,,0,2.0,1.0,74,63.0,85.1,1.0,2.0,,,0,0,13.0,14.0
Liverpool vs Bournemouth,Liverpool,206254,Miloš Kerkez,D,60,6.9,,0,,,29,27.0,93.1,1.0,,1.0,1.0,0,0,4.0,10.0
Liverpool vs Bournemouth,Liverpool,1096,Dominik Szoboszlai,M,90,6.9,,0,3.0,1.0,75,66.0,88.0,4.0,,2.0,1.0,0,0,6.0,11.0
Liverpool vs Bournemouth,Liverpool,6716,Alexis Mac Allister,M,72,6.9,,1,1.0,1.0,46,40.0,87.0,3.0,1.0,2.0,1.0,0,0,5.0,10.0
Liverpool vs Bournemouth,Liverpool,306,Mohamed Salah,M,90,8.5,1.0,0,2.0,2.0,30,18.0,60.0,,,,1.0,0,0,2.0,5.0
Liverpool vs Bournemouth,Liverpool,203224,Florian Wirtz,M,82,6.6,,0,1.0,,51,38.0,74.5,2.0,,,1.0,0,0,3.0,10.0
Liverpool vs Bournemouth,Liverpool,247,Cody Gakpo,M,90,8.6,1.0,0,3.0,2.0,29,21.0,72.4,1.0,,1.0,3.0,0,0,12.0,23.0
Liverpool vs Bournemouth,Liverpool,174565,Hugo Ekitiké,F,72,8,1.0,1,4.0,2.0,21,14.0,66.7,,,1.0,,0,0,5.0,11.0
Liverpool vs Bournemouth,Liverpool,289,Andrew Robertson,D,30,6.3,,0,,,9,6.0,66.7,,,,,0,0,1.0,3.0
Liverpool vs Bournemouth,Liverpool,8500,Wataru Endo,M,30,6.9,,1,,,17,16.0,94.1,2.0,,,,0,0,3.0,4.0
Liverpool vs Bournemouth,Liverpool,284,Joe Gomez,D,18,6.5,,0,,,7,6.0,85.7,,,,,0,0,,
Liverpool vs Bournemouth,Liverpool,293,Curtis Jones,M,18,6.9,,0,,,11,9.0,81.8,,,,,0,0,2.0,4.0
Liverpool vs Bournemouth,Liverpool,30410,Federico Chiesa,F,8,7.6,1.0,0,1.0,1.0,3,3.0,100.0,1.0,,,1.0,0,0,2.0,2.0
Liverpool vs Bournemouth,Bournemouth,118307,Đorđe Petrović,G,90,7.5,,0,,,35,22.0,62.9,,,,,0,0,,
Liverpool vs Bournemouth,Bournemouth,18869,Adam Smith,D,89,6.3,,0,,,25,16.0,64.0,1.0,1.0,1.0,1.0,0,0,5.0,11.0
Liverpool vs Bournemouth,Bournemouth,22136,Bafodé Diakité,D,90,5.9,,0,,,41,30.0,73.2,2.0,1.0,,1.0,0,0,4.0,6.0
Liverpool vs Bournemouth,Bournemouth,6610,Marcos Senesi,D,90,5.9,,0,,,31,21.0,67.7,3.0,1.0,1.0,,0,0,4.0,9.0
Liverpool vs Bournemouth,Bournemouth,162267,Adrien Truffert,D,90,6.2,,0,,,18,14.0,77.8,2.0,,2.0,,0,0,3.0,8.0
Liverpool vs Bournemouth,Bournemouth,1150,Tyler Adams,M,89,6.6,,0,,,39,28.0,71.8,5.0,4.0,1.0,,0,0,6.0,11.0
Liverpool vs Bournemouth,Bournemouth,19281,Antoine Semenyo,M,90,8.6,2.0,0,3.0,2.0,15,7.0,46.7,1.0,1.0,2.0,1.0,0,0,8.0,19.0
Liverpool vs Bournemouth,Bournemouth,304853,Alex Scott,M,74,6.3,,0,,,23,19.0,82.6,,1.0,1.0,2.0,0,0,6.0,10.0
Liverpool vs Bournemouth,Bournemouth,19245,Marcus Tavernier,M,90,6.6,,0,1.0,1.0,35,27.0,77.1,3.0,1.0,,1.0,0,0,8.0,13.0
Liverpool vs Bournemouth,Bournemouth,18870,David Brooks,M,84,6.6,,1,,,18,12.0,66.7,2.0,,1.0,,0,0,4.0,11.0
Liverpool vs Bournemouth,Bournemouth,152856,Evanilson,F,90,6.2,,0,3.0,,13,9.0,69.2,,,1.0,,0,0,3.0,11.0
Liverpool vs Bournemouth,Bournemouth,31057,Hamed Junior Traorè,M,16,6.3,,1,,,2,2.0,100.0,1.0,,,,0,0,1.0,4.0
Liverpool vs Bournemouth,Bournemouth,402432,Ben Winterburn,M,13,6.2,,0,,,1,,,,,,,0,0,,1.0
Aston Villa vs Newcastle,Aston Villa,36878,Marco Bizot,G,90,6.9,,0,,,41,20.0,48.8,,,,,0,0,,
Aston Villa vs Newcastle,Aston Villa,19298,Matty Cash,D,90,7.7,,0,,,13,10.0,76.9,2.0,1.0,1.0,2.0,0,0,4.0,7.0
Aston Villa vs Newcastle,Aston Villa,19354,Ezri Konsa,D,66,6.3,,0,,,33,30.0,90.9,,,1.0,1.0,0,1,2.0,4.0
Aston Villa vs Newcastle,Aston Villa,19179,Tyrone Mings,D,90,7,,0,,,41,35.0,85.4,,1.0,,1.0,0,0,1.0,2.0
Aston Villa vs Newcastle,Aston Villa,2724,Lucas Digne,D,90,6.6,,0,,,27,18.0,66.7,2.0,2.0,2.0,,0,0,3.0,9.0
Aston Villa vs Newcastle,Aston Villa,1904,Boubacar Kamara,M,90,7.6,,0,1.0,1.0,39,32.0,82.1,2.0,1.0,1.0,3.0,1,0,10.0,13.0
Aston Villa vs Newcastle,Aston Villa,162714,Amadou Onana,M,90,7.2,,0,,,43,36.0,83.7,2.0,2.0,,2.0,0,0,7.0,9.0
Aston Villa vs Newcastle,Aston Villa,19191,John McGinn,M,84,6.3,,0,,,19,13.0,68.4,,,2.0,,0,0,1.0,7.0
Aston Villa vs Newcastle,Aston Villa,2926,Youri Tielemans,M,90,6.7,,0,,,19,14.0,73.7,2.0,1.0,4.0,,0,0,3.0,8.0
