player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
18,Jadon Sancho,Aston Villa,F,8,0.0,0,0.0,0.0,14,13.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,,92.857,0.0,0.0,0.0
22,Jacob Bruun Larsen,Burnley,F,87,0.0,0,0.0,0.0,18,14.0,0.0,0.0,0.0,0.0,0,0,1.0,8.0,0.0,0.0,,77.778,12.5,0.0,0.0
22,Jacob Bruun Larsen,Burnley,M,209,0.0,1,2.0,1.0,47,39.0,1.0,2.0,0.0,0.0,0,0,4.0,14.0,0.0,0.431,0.5,82.979,28.571,1.292,0.0
44,Rodri,Manchester City,M,294,0.0,0,3.0,1.0,241,209.0,6.0,2.0,1.0,5.0,0,0,22.0,31.0,0.0,0.0,0.333,86.722,70.968,2.449,0.077
95,Benoît Badiashile,Chelsea,D,66,0.0,0,0.0,0.0,57,53.0,1.0,2.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,,92.982,100.0,4.091,1.364
131,Jorge Cuenca,Fulham,D,178,0.0,0,0.0,0.0,85,74.0,2.0,5.0,0.0,0.0,0,0,5.0,8.0,0.0,0.0,,87.059,62.5,3.539,0.0
138,Jean-Clair Todibo,West Ham,D,127,0.0,0,0.0,0.0,86,80.0,3.0,3.0,0.0,1.0,0,0,4.0,8.0,0.0,0.0,,93.023,50.0,4.252,0.0
169,Kieran Trippier,Newcastle,D,520,0.0,0,0.0,0.0,353,285.0,6.0,4.0,10.0,4.0,0,0,18.0,44.0,0.0,0.0,,80.737,40.909,1.731,0.433
171,Kyle Walker-Peters,West Ham,D,392,0.0,0,3.0,1.0,177,150.0,10.0,0.0,4.0,7.0,1,0,28.0,46.0,0.0,0.0,0.333,84.746,60.87,2.296,0.459
247,Cody Gakpo,Liverpool,F,45,0.0,0,2.0,0.0,15,15.0,0.0,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,100.0,66.667,0.0,0.0
247,Cody Gakpo,Liverpool,M,600,3.0,2,14.0,5.0,184,144.0,6.0,5.0,13.0,15.0,0,0,44.0,87.0,0.45,0.3,0.357,78.261,50.575,1.65,0.488
