team,fixture_id_for,home_goals_for,away_goals_for,Shots on Goal_for,Shots off Goal_for,Total Shots_for,Blocked Shots_for,Shots insidebox_for,Shots outsidebox_for,Fouls_for,Corner Kicks_for,Offsides_for,Ball Possession_for,Yellow Cards_for,Red Cards_for,Goalkeeper Saves_for,Total passes_for,Passes accurate_for,Passes %_for,expected_goals_for,goals_prevented_for,home_goals_against,away_goals_against,Shots on Goal_against,Shots off Goal_against,Total Shots_against,Blocked Shots_against,Shots insidebox_against,Shots outsidebox_against,Fouls_against,Corner Kicks_against,Offsides_against,Ball Possession_against,Yellow Cards_against,Red Cards_against,Goalkeeper Saves_against,Total passes_against,Passes accurate_against,Passes %_against,expected_goals_against,goals_prevented_against
Arsenal,1379085.88,1.54,1.08,5.04,5.54,14.88,4.29,11.33,3.54,10.04,6.17,1.54,0.58,1.38,0.0,1.38,486.25,413.17,0.85,1.78,-0.21,1.54,1.08,2.08,2.92,7.71,2.71,4.92,2.79,10.5,3.04,0.67,0.42,1.67,0.04,3.17,355.54,283.58,0.79,0.69,-0.21
Aston Villa,1379086.5,1.42,1.12,4.5,4.17,12.67,4.0,8.17,4.5,9.79,5.33,1.0,0.54,1.5,0.04,2.83,449.5,382.42,0.84,1.29,-0.08,1.42,1.12,4.08,4.46,12.62,4.08,8.33,4.29,13.42,4.58,2.96,0.46,2.42,0.08,3.17,383.62,321.17,0.82,1.41,-0.08
Bournemouth,1379086.54,2.04,1.42,4.79,4.96,13.38,3.62,8.38,5.0,12.42,5.58,2.08,0.49,2.42,0.04,3.0,402.92,321.71,0.79,1.58,-0.17,2.04,1.42,4.75,4.17,12.83,3.92,8.58,4.25,10.29,5.21,1.08,0.51,2.04,0.04,3.17,422.5,336.0,0.78,1.45,-0.17
Brentford,1379086.88,1.79,1.04,4.04,3.92,10.29,2.33,7.96,2.33,10.96,4.96,1.88,0.47,1.96,0.04,2.75,390.17,310.96,0.79,1.6,-0.12,1.79,1.04,4.04,4.08,12.71,4.58,8.0,4.71,8.67,5.04,0.92,0.53,1.75,0.04,2.58,451.67,370.58,0.81,1.39,-0.12
Brighton,1379087.21,1.62,1.12,4.38,5.21,13.25,3.67,8.5,4.75,11.83,5.0,1.88,0.53,2.46,0.0,2.79,471.0,396.54,0.84,1.55,0.04,1.62,1.12,4.12,5.04,12.38,3.21,8.67,3.71,10.33,4.62,1.21,0.47,2.08,0.04,2.96,422.46,344.79,0.81,1.42,0.04
Burnley,1379087.58,1.75,1.25,2.83,2.96,8.67,2.88,5.17,3.5,9.96,3.38,1.62,0.41,1.71,0.08,4.04,378.33,295.54,0.76,0.83,-0.17,1.75,1.25,6.04,6.67,16.96,4.25,11.25,5.71,8.96,5.79,1.62,0.59,1.12,0.0,1.75,535.38,456.0,0.85,2.01,-0.17
Chelsea,1379088.12,1.42,1.46,4.79,4.67,13.42,3.96,9.29,4.12,11.21,5.88,1.29,0.58,2.38,0.21,2.75,524.25,451.92,0.86,1.82,0.08,1.42,1.46,3.92,4.38,11.21,2.92,7.79,3.42,12.17,4.46,1.58,0.42,2.33,0.12,2.96,380.33,305.5,0.79,1.42,0.08
Crystal Palace,1379088.25,1.04,1.21,3.88,4.29,11.62,3.46,8.46,3.17,10.17,4.04,1.96,0.44,2.0,0.04,2.67,384.5,298.5,0.77,1.58,0.12,1.04,1.21,4.04,4.79,11.5,2.67,8.12,3.38,8.92,5.04,1.5,0.56,1.92,0.04,2.71,492.12,410.92,0.83,1.34,0.12
Everton,1379088.46,1.08,1.12,3.17,4.04,10.58,3.38,7.21,3.38,10.5,4.08,1.21,0.43,1.83,0.12,2.75,378.29,300.38,0.79,1.08,0.04,1.08,1.12,4.08,5.0,13.62,4.54,9.42,4.21,11.79,5.21,1.33,0.57,1.75,0.0,2.12,498.88,420.79,0.84,1.46,0.04
Fulham,1379088.29,1.75,1.12,3.75,4.25,11.88,3.88,7.75,4.12,10.96,4.62,1.88,0.52,2.17,0.0,2.62,478.46,401.92,0.84,1.15,-0.25,1.75,1.12,4.12,4.08,11.58,3.38,8.17,3.42,9.25,5.67,2.71,0.48,1.5,0.08,2.29,447.5,375.08,0.84,1.42,-0.25
