player_id,name,team,position,fixture,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_pct,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total
30519,Stefano Turati,Sassuolo,G,Sassuolo vs Napoli,90,6.2,,0.0,,,22,6.0,,,,,,0,0,1.0,1.0
40582,Sebastian Walukiewicz,Sassuolo,D,Sassuolo vs Napoli,90,6.3,,0.0,,,47,44.0,,1.0,1.0,2.0,,0,0,2.0,5.0
40582,Sebastian Walukiewicz,Sassuolo,D,Cremonese vs Sassuolo,90,6.3,,0.0,,,62,54.0,,2.0,1.0,1.0,,0,0,3.0,8.0
40582,Sebastian Walukiewicz,Sassuolo,D,Sassuolo vs Lazio,45,7.2,,0.0,,,20,15.0,,2.0,,1.0,,0,0,5.0,7.0
40582,Sebastian Walukiewicz,Sassuolo,D,Sassuolo vs Udinese,80,7.3,,0.0,,,27,19.0,,3.0,1.0,,1.0,0,0,7.0,7.0
40582,Sebastian Walukiewicz,Sassuolo,D,Verona vs Sassuolo,90,6.6,,0.0,,,28,24.0,,1.0,1.0,,,0,0,1.0,5.0
40582,Sebastian Walukiewicz,Sassuolo,D,Lecce vs Sassuolo,90,6.6,,0.0,,,24,22.0,,2.0,,2.0,,0,0,3.0,7.0
30556,Filippo Romagna,Sassuolo,D,Sassuolo vs Napoli,90,6,,0.0,,,56,52.0,,1.0,2.0,,,0,0,2.0,6.0
30556,Filippo Romagna,Sassuolo,D,Lecce vs Sassuolo,74,7.7,,0.0,,,48,39.0,,,2.0,,1.0,0,0,3.0,4.0
271350,Tarik Muharemović,Sassuolo,D,Sassuolo vs Napoli,90,6.3,,0.0,1.0,1.0,52,45.0,,2.0,3.0,2.0,3.0,0,0,5.0,8.0
271350,Tarik Muharemović,Sassuolo,D,Cremonese vs Sassuolo,90,6.9,,0.0,,,83,68.0,,2.0,,1.0,,0,0,9.0,12.0
271350,Tarik Muharemović,Sassuolo,D,Sassuolo vs Lazio,90,7.6,,1.0,,,67,59.0,,3.0,2.0,1.0,1.0,1,0,5.0,7.0
271350,Tarik Muharemović,Sassuolo,D,Inter vs Sassuolo,90,6.3,,0.0,,,44,39.0,,3.0,2.0,2.0,,1,0,6.0,11.0
271350,Tarik Muharemović,Sassuolo,D,Sassuolo vs Udinese,90,6.7,,0.0,,,41,32.0,,1.0,,,2.0,0,0,6.0,8.0
271350,Tarik Muharemović,Sassuolo,D,Verona vs Sassuolo,90,7.6,,0.0,,,40,30.0,,3.0,1.0,,,0,0,9.0,10.0
135526,Josh Doig,Sassuolo,D,Sassuolo vs Napoli,81,6.7,,0.0,1.0,1.0,16,15.0,,1.0,1.0,1.0,1.0,0,0,3.0,6.0
135526,Josh Doig,Sassuolo,D,Cremonese vs Sassuolo,45,5.6,,0.0,,,18,12.0,,1.0,1.0,1.0,2.0,1,0,5.0,8.0
135526,Josh Doig,Sassuolo,D,Sassuolo vs Lazio,90,7.3,,0.0,,,29,24.0,,2.0,4.0,2.0,1.0,1,0,5.0,8.0
135526,Josh Doig,Sassuolo,D,Inter vs Sassuolo,90,6.9,,0.0,,,26,24.0,,1.0,,,,0,0,1.0,5.0
135526,Josh Doig,Sassuolo,D,Sassuolo vs Udinese,90,6.6,,0.0,,,29,24.0,,2.0,1.0,,2.0,0,0,6.0,9.0
135526,Josh Doig,Sassuolo,D,Verona vs Sassuolo,90,6.6,,0.0,1.0,,20,14.0,,1.0,2.0,1.0,,0,0,3.0,8.0
135526,Josh Doig,Sassuolo,D,Lecce vs Sassuolo,90,7,,0.0,,,36,29.0,,4.0,2.0,1.0,2.0,1,0,8.0,14.0
328046,Ismael Koné,Sassuolo,M,Sassuolo vs Napoli,79,6,,0.0,,,29,25.0,,1.0,1.0,3.0,2.0,2,1,3.0,8.0
