team,home_goals_for,away_goals_for,Shots on Goal_for,Shots off Goal_for,Total Shots_for,Blocked Shots_for,Shots insidebox_for,Shots outsidebox_for,Fouls_for,Corner Kicks_for,Offsides_for,Ball Possession_for,Yellow Cards_for,Red Cards_for,Goalkeeper Saves_for,Total passes_for,Passes accurate_for,Passes %_for,expected_goals_for,goals_prevented_for,home_goals_against,away_goals_against,Shots on Goal_against,Shots off Goal_against,Total Shots_against,Blocked Shots_against,Shots insidebox_against,Shots outsidebox_against,Fouls_against,Corner Kicks_against,Offsides_against,Ball Possession_against,Yellow Cards_against,Red Cards_against,Goalkeeper Saves_against,Total passes_against,Passes accurate_against,Passes %_against,expected_goals_against,goals_prevented_against
AC Milan,1.0,1.3,4.7,5.3,13.5,3.4,9.6,3.8,9.8,4.5,2.0,0.5,1.7,0.1,2.8,492.0,431.7,0.9,1.7,0.2,1.0,1.3,3.4,4.4,10.9,3.0,6.6,4.3,12.0,4.4,1.0,0.5,1.9,0.0,3.0,441.6,382.6,0.9,1.1,0.2
AS Roma,1.1,0.8,4.8,5.3,13.8,3.8,9.9,4.0,14.7,5.1,1.5,0.6,1.8,0.0,2.9,491.5,411.7,0.8,1.4,0.0,1.1,0.8,3.5,3.8,9.3,2.1,5.5,3.8,14.6,3.0,1.7,0.4,2.3,0.1,3.5,371.0,287.1,0.8,1.0,0.0
Atalanta,1.3,1.0,4.7,5.3,14.5,4.5,9.5,5.0,11.6,5.7,1.8,0.5,1.6,0.1,3.2,477.7,404.6,0.8,1.5,0.2,1.3,1.0,4.0,4.8,11.9,3.2,7.6,4.3,10.8,4.6,1.6,0.5,1.3,0.0,3.2,408.4,333.9,0.8,1.2,0.2
Bologna,1.2,1.4,4.0,5.8,13.2,3.3,8.4,4.8,14.2,4.7,1.9,0.5,2.0,0.2,2.7,428.5,352.9,0.8,1.2,0.0,1.2,1.4,3.9,3.9,10.4,2.6,7.2,3.3,14.8,4.1,2.3,0.5,2.2,0.2,2.7,356.6,279.0,0.8,1.2,0.0
Cagliari,1.3,1.1,3.4,4.2,10.0,2.5,6.1,4.0,15.0,3.5,1.5,0.5,2.4,0.0,3.5,393.9,319.7,0.8,0.9,0.1,1.3,1.1,4.9,4.7,13.4,3.8,9.0,4.4,15.1,5.6,1.1,0.5,1.9,0.1,2.4,470.0,397.7,0.8,1.4,0.1
Como,1.2,1.1,5.1,5.9,14.3,3.3,9.1,5.2,13.6,4.0,0.9,0.6,2.3,0.1,2.7,531.2,463.5,0.9,1.6,0.2,1.2,1.1,3.5,3.7,9.6,2.4,6.4,3.2,12.2,3.5,2.6,0.4,2.1,0.1,3.6,333.0,264.1,0.8,1.0,0.2
Cremonese,1.2,1.0,3.1,3.4,8.8,2.3,5.3,3.5,13.0,3.2,1.7,0.4,2.0,0.0,4.3,374.1,290.2,0.8,1.0,0.1,1.2,1.0,5.7,6.7,17.3,5.0,11.4,5.9,12.9,6.8,1.8,0.6,1.4,0.0,2.3,463.8,388.7,0.8,1.6,0.1
Fiorentina,1.5,1.2,3.7,5.9,13.8,4.2,8.8,5.0,12.7,4.7,1.8,0.5,2.3,0.0,3.0,429.4,363.3,0.8,1.6,0.0,1.5,1.2,4.6,5.0,13.2,3.5,9.2,4.0,16.7,4.6,0.9,0.5,2.5,0.1,2.5,390.7,322.8,0.8,1.4,0.0
Genoa,1.4,1.3,4.1,4.6,11.8,3.0,7.6,4.2,13.6,3.6,1.4,0.5,2.0,0.1,3.0,379.7,304.6,0.8,1.3,0.2,1.4,1.3,4.4,4.6,13.4,4.3,9.0,4.3,15.0,5.1,1.4,0.5,2.3,0.2,2.8,417.6,336.9,0.8,1.3,0.2
Hellas Verona,1.5,1.0,3.8,4.0,10.8,3.0,6.3,4.5,15.8,3.8,1.8,0.4,2.2,0.1,2.7,338.1,253.2,0.7,1.0,-0.0,1.5,1.0,4.4,4.9,13.6,4.3,7.8,5.8,9.2,5.1,1.5,0.6,1.6,0.0,3.0,498.6,416.0,0.8,1.3,-0.0
Inter,1.7,1.5,6.5,7.3,18.7,5.0,13.2,5.6,13.8,6.8,1.8,0.6,1.6,0.0,1.9,541.7,472.3,0.9,2.0,-0.0,1.7,1.5,2.7,3.2,8.2,2.3,5.0,3.2,11.7,2.7,1.5,0.4,1.7,0.1,3.8,356.8,287.4,0.8,0.8,-0.0
Juventus,1.5,1.2,6.0,5.6,16.4,4.8,10.5,5.9,12.7,5.3,1.8,0.6,1.3,0.1,2.0,524.7,455.5,0.9,1.8,-0.0,1.5,1.2,2.9,4.6,10.3,2.8,6.0,4.3,10.6,3.8,0.5,0.4,2.2,0.1,4.4,398.3,330.3,0.8,0.9,-0.0
Lazio,1.0,0.9,3.8,4.7,11.2,2.7,6.7,4.5,10.7,3.7,0.8,0.5,2.1,0.3,3.3,483.1,414.2,0.8,1.0,0.2,1.0,0.9,4.3,5.9,13.8,3.7,8.8,5.0,15.7,3.8,1.4,0.5,2.7,0.1,2.9,465.6,400.4,0.9,1.4,0.2
