fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
as roma vs inter,inter,5,Manuel Akanji,D,90,6.9,0.0,0.0,1.0,0.0,44,36.0,81.8,3.0,0.0,2.0,0.0,0,0,4.0,9.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0,0.0,2.0,0.0,0.2222222222222222,6.9,0.0,0.0,0.0,4.14,0.0,1.0,-0.7999999999999998,0.651544168100199,as roma,0.643715595008214,8,36.0,-1.0999999999999999,0.7444434853095411,0,0,0.35628440499178604,0.30000000000000004,-0.09289931720934208,0,0.0,0.0
as roma vs inter,inter,5,Manuel Akanji,D,90,6.9,0.0,0.0,1.0,0.0,44,36.0,81.8,3.0,0.0,2.0,0.0,0,0,4.0,9.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0,0.0,2.0,0.0,0.2222222222222222,6.9,0.0,0.0,0.0,4.14,0.0,1.0,-0.7999999999999998,0.651544168100199,as roma,0.643715595008214,8,36.0,-1.0999999999999999,0.7444434853095411,0,0,0.35628440499178604,0.30000000000000004,-0.09289931720934208,0,0.0,0.0
cagliari vs inter,inter,5,Manuel Akanji,D,90,7.2,0.0,0.0,1.0,0.0,68,60.0,88.2,3.0,1.0,0.0,0.0,0,0,4.0,5.0,0.0,0.0,0.8,0.6,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.2,0.03000000000000001,0.20250651125609215,-0.19999999999999996,0.6106283158246083,cagliari,0.16280052036696008,0,13.0,-0.43333333333333335,0.5518190110972618,0,0,0.03970599088913207,0.2333333333333334,0.05880930472734647,0,0.0,0.0
inter vs cremonese,inter,5,Manuel Akanji,D,90,6.9,0.0,0.0,1.0,0.0,73,64.0,87.7,1.0,2.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,6.9750000000000005,0.0,0.0,0.0,4.1850000000000005,0.022499999999999975,0.10422698320787492,0.43333333333333335,0.7736835194604157,cremonese,0.08732102999618921,1,8.0,-0.12,0.4767399114875797,0,0,0.016905953211685712,0.5533333333333333,0.296943607972836,0,0.0,0.0
inter vs sassuolo,inter,5,Manuel Akanji,D,90,6.9,0.0,0.0,0.0,0.0,59,57.0,96.6,2.0,0.0,2.0,0.0,0,0,3.0,9.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0,0.0,2.0,0.0,0.2222222222222222,6.975,0.0,0.0,0.0,4.185,0.022499999999999975,0.21974522292993628,0.30000000000000004,0.6633817336669895,sassuolo,0.08665828771062775,1,8.0,0.30000000000000004,0.5269201649958228,0,0,0.13308693521930853,0.0,0.13646156867116666,0,0.0,0.0
juventus vs inter,inter,5,Manuel Akanji,D,90,6.2,0.0,0.0,0.0,0.0,88,79.0,89.8,0.0,1.0,0.0,2.0,0,0,5.0,6.0,0.0,0.0,0.8333333333333334,0.0,0.0,0,0.0,0.0,0.0,0.0,6.800000000000001,0.0,0.0,0.0,4.08,0.1799999999999995,0.12314225053078556,1.0999999999999999,0.7019709982585689,juventus,0.20162750569840016,2,14.0,0.12,0.5740700556538405,0,0,-0.07848525516761459,0.9799999999999999,0.1279009426047284,0,0.0,0.0
ac milan vs bologna,ac milan,17,Christian Pulišić,M,25,7.3,0.0,0.0,0.0,0.0,10,9.0,90.0,0.0,0.0,0.0,1.0,0,0,3.0,7.0,0.0,0.0,0.42857142857142855,0.0,0.0,0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,4.38,0.0,0.2653240155754403,-0.3999999999999999,0.6084899749373434,bologna,0.23784637160433333,2,16.0,-0.6,0.6204199242708499,0,0,0.02747764397110694,0.20000000000000007,-0.011929949333506551,0,0.0,0.0
ac milan vs cremonese,ac milan,17,Christian Pulišić,F,90,6.9,0.0,0.0,2.0,1.0,39,33.0,84.6,0.0,0.0,2.0,0.0,0,0,2.0,7.0,0.5,0.0,0.2857142857142857,0.0,0.0,0,0.0,2.0,0.0,0.2857142857142857,7.1,0.0,0.0,0.0,4.26,0.07999999999999961,0.12428548097337906,-0.09999999999999998,0.7316964285714286,cremonese,0.22220565366508313,4,14.0,-0.19999999999999996,0.5212765369305616,0,0,-0.09792017269170407,0.09999999999999998,0.21041989164086694,0,0.0,0.0
ac milan vs napoli,ac milan,17,Christian Pulišić,F,59,8.5,1.0,1.0,1.0,1.0,24,23.0,95.8,0.0,0.0,0.0,0.0,0,0,1.0,5.0,1.0,1.0,0.2,0.0,2.0,0,0.0,0.0,0.0,0.0,7.566666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,4.806666666666667,0.6933333333333335,0.07969949371223253,0.07500000000000007,0.5178965759628876,napoli,0.06003593009962436,0,7.0,0.5,0.7022549480318443,0,0,0.019663563612608174,-0.42499999999999993,-0.18435837206895667,0,0.0,0.0
juventus vs ac milan,ac milan,17,Christian Pulišić,F,74,6.3,0.0,0.0,2.0,1.0,31,27.0,87.1,1.0,1.0,0.0,2.0,0,0,3.0,7.0,0.5,0.0,0.42857142857142855,0.14285714285714285,0.0,0,0.0,0.0,0.0,0.0,7.25,0.25,0.25,0.5,4.55,0.8633333333333334,0.09878264802321633,-0.06000000000000005,0.56131903659363,juventus,0.22251535823314356,2,15.0,-0.43333333333333335,0.6471123120300752,0,0,-0.12373271020992722,0.3733333333333333,-0.08579327543644522,0,0.0,0.0
lecce vs ac milan,ac milan,17,Christian Pulišić,M,13,8.0,1.0,0.0,1.0,1.0,7,6.0,85.7,1.0,1.0,0.0,1.0,0,0,3.0,4.0,1.0,1.0,0.75,0.25,1.0,0,0.0,0.0,0.0,0.0,7.425,0.5,0.25,0.75,4.755,1.0091666666666668,0.07601575117498684,0.21999999999999997,0.6218783148223255,lecce,0.12260425973427094,1,10.0,-0.2333333333333333,0.5794129331059608,0,0,-0.046588508559284106,0.45333333333333325,0.042465381716364714,0,0.0,0.0
