fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
AC Milan vs Bologna,AC Milan,1.0,1.0,10.0,3.0,336,286.0,17.0,3,0,997,14.0,5.0,0.3,0.8511904761904762,1.0,0,0.39,7,14,3,0,0,0.30600000000000005,0,0,0.6084899749373434,3,17.0,3,0.17647058823529413,0.8947368421052632,9.578947368421053,0.2653240155754403,1.0,3.0,-0.3999999999999999
AC Milan vs Cremonese,AC Milan,1.0,1.0,15.0,6.0,608,551.0,10.0,1,0,992,8.0,4.0,0.4,0.90625,1.8800000000000001,0,0.64,9,24,6,0,0,0.44885714285714284,0,0,0.7316964285714286,1,10.0,1,0.1,0.8333333333333334,5.466666666666667,0.12428548097337906,1.0,2.0,-0.09999999999999998
AC Milan vs Fiorentina,AC Milan,2.0,1.0,11.0,4.0,485,424.0,14.0,3,0,996,21.0,4.0,0.36363636363636365,0.8742268041237113,1.98,0,0.56,1,14,4,0,0,0.24542857142857147,0,0,0.5710537216107278,3,14.0,3,0.21428571428571427,0.56,8.012,0.2115825575698187,1.3333333333333333,2.3333333333333335,-0.03333333333333344
AC Milan vs Napoli,AC Milan,2.0,2.0,5.0,3.0,359,298.0,7.0,1,1,957,11.0,10.0,0.6,0.83008356545961,0.75,-1,0.37,1,6,3,0,0,0.16942857142857143,0,0,0.5178965759628876,2,7.0,2,0.2857142857142857,0.3333333333333333,4.166666666666666,0.07969949371223253,1.5,2.25,0.07500000000000007
Juventus vs AC Milan,AC Milan,0.0,0.0,11.0,4.0,466,416.0,8.0,2,0,990,7.0,6.0,0.36363636363636365,0.8927038626609443,1.74,0,0.49,0,13,4,0,0,0.196,0,0,0.56131903659363,2,8.0,2,0.25,0.6153846153846154,4.723076923076922,0.09878264802321633,1.2,2.2,-0.06000000000000005
Lecce vs AC Milan,AC Milan,2.0,1.0,11.0,6.0,482,416.0,8.0,0,0,995,18.0,9.0,0.5454545454545454,0.8630705394190872,1.85,0,0.55,5,14,6,0,0,0.3271428571428572,0,0,0.6218783148223255,0,8.0,0,0.0,0.2962962962962963,4.059259259259259,0.07601575117498684,1.4,1.6,0.21999999999999997
Udinese vs AC Milan,AC Milan,3.0,2.0,12.0,6.0,607,550.0,7.0,0,0,990,17.0,4.0,0.5,0.9060955518945635,1.44,0,0.6000000000000001,4,13,6,0,0,0.32571428571428573,0,0,0.6599439225638231,0,7.0,0,0.0,0.3333333333333333,3.566666666666667,0.059121345745549565,1.8,1.4,0.48000000000000004
AS Roma vs Bologna,AS Roma,1.0,0.0,13.0,4.0,414,338.0,15.0,1,0,993,13.0,9.0,0.3076923076923077,0.8164251207729468,1.56,0,0.51,2,14,4,0,0,0.24685714285714286,0,0,0.5389221468526388,1,15.0,1,0.06666666666666667,0.6818181818181818,7.9363636363636365,0.20898846376553384,1.0,1.0,0.2
AS Roma vs Inter,AS Roma,0.0,0.0,22.0,10.0,1018,888.0,36.0,8,0,1980,16.0,18.0,0.45454545454545453,0.8722986247544204,1.35,1,0.5700000000000001,4,15,5,0,0,0.3137142857142857,0,0,0.7444434853095411,8,36.0,8,0.2222222222222222,1.0588235294117647,20.61176470588235,0.643715595008214,0.5,4.5,-1.0999999999999999
AS Roma vs Torino,AS Roma,0.0,0.0,15.0,5.0,590,530.0,11.0,2,0,990,12.0,7.0,0.3333333333333333,0.8983050847457628,1.14,0,0.73,7,22,5,0,0,0.44199999999999995,0,0,0.6947117528991972,2,11.0,2,0.18181818181818182,0.5789473684210527,6.21578947368421,0.1499780809200856,0.3333333333333333,3.6666666666666665,-0.9333333333333332
AS Roma vs Verona,AS Roma,2.0,1.0,7.0,5.0,432,315.0,11.0,0,0,990,16.0,7.0,0.7142857142857143,0.7291666666666666,0.9500000000000001,0,0.5700000000000001,8,10,5,0,0,0.39942857142857147,0,0,0.5854479949874687,0,11.0,0,0.0,0.4782608695652174,5.595652173913043,0.12870928572950172,0.75,2.75,-0.44999999999999996
Fiorentina vs AS Roma,AS Roma,2.0,2.0,6.0,3.0,467,384.0,21.0,3,0,990,17.0,7.0,0.5,0.8222698072805139,1.35,0,0.55,4,8,3,0,0,0.3057142857142857,0,0,0.5834915765725878,3,21.0,3,0.14285714285714285,0.875,11.575000000000001,0.33378245957863795,1.0,2.8,-0.33999999999999997
Lazio vs AS Roma,AS Roma,1.0,1.0,12.0,6.0,408,336.0,22.0,1,0,990,17.0,11.0,0.5,0.8235294117647058,1.16,0,0.51,6,13,6,0,0,0.3325714285714286,0,0,0.5981368863334807,1,22.0,1,0.045454545454545456,0.7857142857142857,11.457142857142857,0.3297403233708966,1.0,2.8,-0.33999999999999997
Pisa vs AS Roma,AS Roma,1.0,1.0,7.0,5.0,577,484.0,10.0,1,0,988,16.0,6.0,0.7142857142857143,0.8388214904679376,0.78,0,0.6900000000000001,7,10,5,0,0,0.42600000000000005,0,0,0.6617627189181793,1,10.0,1,0.1,0.45454545454545453,5.390909090909091,0.12168722996748473,1.2,1.4,0.18
Atalanta vs Como,Atalanta,1.0,0.0,9.0,4.0,457,391.0,10.0,1,0,990,19.0,9.0,0.4444444444444444,0.8555798687089715,1.4,0,0.51,8,16,4,0,0,0.37542857142857144,0,0,0.6548223591665159,1,10.0,1,0.1,0.35714285714285715,5.371428571428571,0.12101910828025475,1.0,1.0,0.2
Atalanta vs Lazio,Atalanta,0.0,0.0,26.0,12.0,1216,1104.0,20.0,8,0,1980,28.0,16.0,0.46153846153846156,0.9078947368421053,2.32,1,0.58,7,16,6,0,0,0.382,0,0,0.8539473684210527,8,20.0,8,0.4,0.45454545454545453,12.490909090909092,0.36519531423990026,0.5,4.5,-1.0999999999999999
Atalanta vs Lecce,Atalanta,4.0,3.0,16.0,8.0,456,390.0,12.0,0,0,993,14.0,6.0,0.5,0.8552631578947368,2.12,-1,0.5700000000000001,8,19,8,0,0,0.39942857142857147,0,0,0.6544172932330827,0,12.0,0,0.0,0.6,6.12,0.14669279764821166,1.6666666666666667,3.0,-0.06666666666666654
Atalanta vs Pisa,Atalanta,1.0,1.0,18.0,6.0,552,477.0,9.0,2,0,999,12.0,5.0,0.3333333333333333,0.8641304347826086,1.92,1,0.66,10,21,6,0,0,0.4782857142857143,0,0,0.711106570774763,2,9.0,2,0.2222222222222222,0.5294117647058824,5.205882352941176,0.115341383981324,1.5,2.75,-0.07499999999999996
Juventus vs Atalanta,Atalanta,1.0,0.0,9.0,2.0,299,235.0,7.0,3,1,980,12.0,9.0,0.2222222222222222,0.7859531772575251,0.73,1,0.33,5,12,2,0,0,0.23914285714285716,0,0,0.538171607425755,4,7.0,4,0.5714285714285714,0.3333333333333333,4.766666666666667,0.10027764167891555,1.4,3.0,-0.19999999999999996
Parma vs Atalanta,Atalanta,1.0,1.0,7.0,3.0,420,334.0,15.0,2,0,990,23.0,7.0,0.42857142857142855,0.7952380952380952,0.81,0,0.54,2,11,3,0,0,0.2588571428571429,0,0,0.5298088972431078,2,15.0,2,0.13333333333333333,0.5,8.2,0.21803037726604602,1.4,3.2,-0.26
Torino vs Atalanta,Atalanta,3.0,3.0,8.0,5.0,617,541.0,9.0,0,0,994,16.0,3.0,0.625,0.8768233387358185,1.6400000000000001,1,0.61,0,9,5,0,0,0.244,0,0,0.5906320641047513,0,9.0,0,0.0,0.47368421052631576,4.594736842105263,0.09438097939606487,2.0,1.6,0.52
AC Milan vs Bologna,Bologna,0.0,0.0,2.0,0.0,521,453.0,16.0,2,0,997,13.0,5.0,0.0,0.8694817658349329,0.17,0,0.61,4,5,0,0,0,0.3297142857142857,0,0,0.6204199242708499,2,16.0,2,0.125,0.8888888888888888,8.777777777777777,0.23784637160433333,0.0,2.0,-0.6
AS Roma vs Bologna,Bologna,0.0,0.0,9.0,2.0,388,301.0,13.0,1,0,994,14.0,5.0,0.2222222222222222,0.7757731958762887,0.58,0,0.49,4,10,2,0,0,0.2817142857142857,0,0,0.5407531392915278,1,13.0,1,0.07692307692307693,0.6842105263157895,6.936842105263158,0.17470796049408185,0.0,1.5,-0.44999999999999996
Bologna vs Como,Bologna,1.0,1.0,8.0,2.0,242,169.0,13.0,4,0,990,16.0,9.0,0.25,0.6983471074380165,1.1,0,0.36,7,15,2,0,0,0.294,0,0,0.5088775010874294,4,13.0,4,0.3076923076923077,0.52,7.804,0.20444879960803525,0.3333333333333333,2.3333333333333335,-0.5333333333333334
Bologna vs Genoa,Bologna,2.0,1.0,11.0,6.0,406,320.0,12.0,1,0,1003,13.0,9.0,0.5454545454545454,0.7881773399014779,1.59,0,0.59,8,14,6,0,0,0.40742857142857136,0,0,0.6085388579206638,1,12.0,1,0.08333333333333333,0.5454545454545454,6.409090909090909,0.15660772348670438,0.75,2.0,-0.22499999999999998
Bologna vs Pisa,Bologna,4.0,3.0,19.0,7.0,547,485.0,16.0,0,0,990,17.0,4.0,0.3684210526315789,0.886654478976234,3.62,-1,0.71,2,24,7,0,0,0.32685714285714285,0,0,0.6068493259542824,0,16.0,0,0.0,0.7619047619047619,8.152380952380952,0.21639719091948387,1.4,1.6,0.21999999999999997
Cagliari vs Bologna,Bologna,4.0,4.0,18.0,14.0,854,726.0,44.0,6,0,1992,32.0,14.0,0.7777777777777778,0.8501170960187353,0.77,0,0.58,7,10,7,0,0,0.382,0,0,0.7357493374830518,6,44.0,6,0.13636363636363635,0.9565217391304348,23.991304347826087,0.7596233730268624,2.2,2.4,0.3800000000000001
Lecce vs Bologna,Bologna,2.0,1.0,8.0,5.0,517,442.0,13.0,2,0,996,14.0,5.0,0.625,0.8549323017408124,1.37,0,0.67,9,14,5,0,0,0.46085714285714285,0,0,0.6835869215470979,2,13.0,2,0.15384615384615385,0.6842105263157895,7.2368421052631575,0.1849970344774233,2.6,2.6,0.52
Cagliari vs Bologna,Cagliari,0.0,0.0,8.0,6.0,620,482.0,30.0,2,0,1980,24.0,14.0,0.75,0.7774193548387097,0.19,0,0.42,2,4,3,0,0,0.21085714285714285,0,0,0.5702416323065729,2,30.0,2,0.06666666666666667,0.7894736842105263,15.757894736842104,0.4772428376182985,0.0,2.0,-0.6
Cagliari vs Fiorentina,Cagliari,1.0,1.0,13.0,6.0,356,293.0,18.0,4,0,995,12.0,3.0,0.46153846153846156,0.8230337078651685,1.13,0,0.45,3,14,6,0,0,0.2442857142857143,0,0,0.5422029441581482,4,18.0,4,0.2222222222222222,1.2,10.44,0.2948554630083292,0.5,3.0,-0.6499999999999999
Cagliari vs Inter,Cagliari,0.0,0.0,4.0,0.0,374,301.0,13.0,0,0,990,12.0,17.0,0.0,0.8048128342245989,0.18,0,0.42,4,6,0,0,0,0.2537142857142857,0,0,0.5518190110972618,0,13.0,0,0.0,0.4482758620689655,6.589655172413793,0.16280052036696008,0.3333333333333333,2.0,-0.43333333333333335
Cagliari vs Parma,Cagliari,2.0,0.0,8.0,5.0,396,319.0,15.0,3,0,998,14.0,10.0,0.625,0.8055555555555556,1.13,0,0.51,4,12,5,0,0,0.2897142857142857,0,0,0.5576180033416875,3,15.0,3,0.2,0.625,8.525,0.22917687408133267,0.75,2.25,-0.29999999999999993
Lecce vs Cagliari,Cagliari,2.0,1.0,12.0,6.0,352,285.0,19.0,3,0,995,20.0,10.0,0.5,0.8096590909090909,2.24,0,0.48,7,15,6,0,0,0.34199999999999997,0,0,0.5916716507177033,3,19.0,3,0.15789473684210525,0.6333333333333333,10.526666666666667,0.29782786215907237,1.0,2.4,-0.21999999999999997
Napoli vs Cagliari,Cagliari,0.0,0.0,9.0,1.0,310,252.0,12.0,1,0,1004,16.0,4.0,0.1111111111111111,0.8129032258064516,0.53,0,0.33,0,10,1,0,0,0.132,0,0,0.48293187606112054,1,12.0,1,0.08333333333333333,0.6,6.42,0.15698187163155314,1.0,2.2,-0.16000000000000003
Udinese vs Cagliari,Cagliari,1.0,1.0,6.0,2.0,299,216.0,16.0,2,0,996,20.0,5.0,0.3333333333333333,0.7224080267558528,0.97,1,0.4,2,8,2,0,0,0.20285714285714287,0,0,0.463541889317776,2,16.0,2,0.125,0.64,8.728,0.23613914747672707,1.0,1.8,-0.040000000000000036
Atalanta vs Como,Como,1.0,0.0,8.0,4.0,457,388.0,19.0,3,0,994,18.0,10.0,0.5,0.849015317286652,1.32,0,0.49,3,12,4,0,0,0.2602857142857143,0,0,0.5801115120267847,3,19.0,3,0.15789473684210525,0.6785714285714286,10.535714285714286,0.2981381675649192,1.0,3.0,-0.3999999999999999
